Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
BENIN,BEN,BOTSWANA,BWA,128,128,12,-5.0,10,-2.60416666666667,Benin,BN,9.5,2.25,https://h24info.ma/economie/can-2025-le-senegal-rdc-se-neutralisent-1-1/,2025-12-27,2025,12,Dec 2025,52,Rejet / Refus,négatif
BENIN,BEN,BOTSWANA,BWA,20,20,2,3.0,10,-0.69204152249135,Benin,BN,9.5,2.25,https://senego.com/can-2025-le-benin-simpose-sur-le-fil-face-au-botswana-1-0-decouvrez-les-notes-des-joueurs_1906813.html,2025-12-27,2025,12,Dec 2025,52,Appel / Demande,neutre
BENIN,BEN,AFRICA,AFR,180,180,18,-9.0,10,0.59760956175299,Benin,BN,9.5,2.25,https://senego.com/can-2025-legypte-ecarte-le-benin-apres-prolongation-3-1-decouvrez-les-notes-des-joueurs_1909471.html,2026-01-05,2026,1,Jan 2026,2,Assaut,neutre
BENIN,BEN,EGYPT,EGY,43,43,4,2.8,10,-2.08,Benin,BN,9.5,2.25,https://elpais.com/cultura/2026-01-27/catharine-titi-y-katia-fach-profesoras-y-juristas-veremos-volver-los-marmoles-al-partenon.html,2026-01-27,2026,1,Jan 2026,5,Consultation,négatif
EGYPT,EGY,BENIN,BEN,42,42,4,1.9,10,-2.08,Benin,BN,9.5,2.25,https://elpais.com/cultura/2026-01-27/catharine-titi-y-katia-fach-profesoras-y-juristas-veremos-volver-los-marmoles-al-partenon.html,2026-01-27,2026,1,Jan 2026,5,Consultation,négatif
SENEGAL,SEN,Inconnu,Inconnu,40,40,4,1.0,10,1.06951871657754,Benin,BN,9.5,2.25,https://www.senenews.com/actualites/can-2025-les-verites-de-mbaye-niang-sur-la-qualite-de-jeu-proposee-par-le-senegal_571173.html,2026-01-01,2026,1,Jan 2026,1,Consultation,positif
BENIN,BEN,Inconnu,Inconnu,193,193,19,-10.0,10,0.59760956175299,Benin,BN,9.5,2.25,https://senego.com/can-2025-legypte-ecarte-le-benin-apres-prolongation-3-1-decouvrez-les-notes-des-joueurs_1909471.html,2026-01-05,2026,1,Jan 2026,2,Violence de masse,neutre
EGYPT,EGY,BENIN,BEN,20,20,2,3.0,10,3.49344978165939,Benin,BN,9.5,2.25,https://www.voetbalprimeur.nl:443/nieuws/1728322/egypte-verslaat-benin-op-afrika-cup.html,2026-01-05,2026,1,Jan 2026,2,Appel / Demande,positif
EGYPT,EGY,Inconnu,Inconnu,20,20,2,3.0,10,-1.3215859030837,Benin,BN,9.5,2.25,https://www.jeuneafrique.com/1754073/societe/can-2025-emmene-en-prolongation-legypte-sen-sort-face-au-benin-et-se-qualifie/,2026-01-05,2026,1,Jan 2026,2,Appel / Demande,négatif
EGYPT,EGY,BENIN,BEN,10,10,1,0.0,8,-0.36231884057971,Benin,BN,9.5,2.25,https://www.calcionews24.com/coppa-dafrica-ottavi-di-finale-tabellone/,2026-01-01,2026,1,Jan 2026,1,Déclaration publique,neutre
EGYPT,EGY,BENIN,BEN,110,110,11,-2.0,8,1.23456790123457,Benin,BN,9.5,2.25,https://dailytrust.com/egypt-survive-benin-scare-to-advance-to-afcon-quarterfinals/,2026-01-06,2026,1,Jan 2026,2,Désapprobation,positif
EGYPTIAN,EGY,BENIN,BEN,60,60,6,6.0,8,-1.53846153846153,Benin,BN,9.5,2.25,https://h24info.ma/special-can/can-2025-egypte-qualification-quarts-benin/,2026-01-05,2026,1,Jan 2026,2,Coopération matérielle,négatif
