Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
CHINA,CHN,Inconnu,Inconnu,10,10,1,0.0,10,4.93827160493827,Benin,BN,9.5,2.25,http://french.china.org.cn/foreign/txt/2026-04/18/content_118444918.htm,2026-04-18,2026,4,Apr 2026,16,Déclaration publique,positif
CHINA,CHN,BENIN,BEN,71,71,7,7.4,10,5.40540540540541,"Alibori, Alibori, Benin",BN,11.3333,2.91667,http://www.sierraleonetimes.com/news/278994518/china-funded-oxygen-concentrators-delivered-to-boost-healthcare-in-benin,2026-04-18,2026,4,Apr 2026,16,Aide / Assistance,positif
CHINESE,CHN,CHINA,CHN,17,17,1,0.0,2,5.31914893617021,"Alibori, Alibori, Benin",BN,11.3333,2.91667,https://english.news.cn/20260418/02e91c47942a4e088eb42b3c4a77b976/c.html,2026-04-17,2026,4,Apr 2026,16,Déclaration publique,positif
CHINA,CHN,CHINESE,CHN,43,43,4,2.8,2,5.31914893617021,"Alibori, Alibori, Benin",BN,11.3333,2.91667,https://english.news.cn/20260418/02e91c47942a4e088eb42b3c4a77b976/c.html,2026-04-17,2026,4,Apr 2026,16,Consultation,positif
CHINA,CHN,BENIN,BEN,71,71,7,7.4,20,5.31914893617021,"Alibori, Alibori, Benin",BN,11.3333,2.91667,https://english.news.cn/20260418/02e91c47942a4e088eb42b3c4a77b976/c.html,2026-04-17,2026,4,Apr 2026,16,Aide / Assistance,positif
CHINESE,CHN,CHINA,CHN,42,42,4,1.9,2,5.31914893617021,"Alibori, Alibori, Benin",BN,11.3333,2.91667,https://english.news.cn/20260418/02e91c47942a4e088eb42b3c4a77b976/c.html,2026-04-17,2026,4,Apr 2026,16,Consultation,positif
BENIN,BEN,CHINESE,CHN,43,43,4,2.8,8,7.40740740740741,"Parakou, Borgou, Benin",BN,9.33716,2.63031,http://www.bignewsnetwork.com/news/278986716/4th-chinese-support-mission-for-cotton-production-arrives-in-benin,2026-04-16,2026,4,Apr 2026,16,Consultation,positif
CHINESE,CHN,BENIN,BEN,51,51,5,3.4,6,7.40740740740741,"Parakou, Borgou, Benin",BN,9.33716,2.63031,http://www.bignewsnetwork.com/news/278986716/4th-chinese-support-mission-for-cotton-production-arrives-in-benin,2026-04-16,2026,4,Apr 2026,16,Engagement diplomatique,positif
CHINESE,CHN,BENIN,BEN,45,45,4,5.0,6,7.40740740740741,"Parakou, Borgou, Benin",BN,9.33716,2.63031,http://www.bignewsnetwork.com/news/278986716/4th-chinese-support-mission-for-cotton-production-arrives-in-benin,2026-04-16,2026,4,Apr 2026,16,Consultation,positif
BENIN,BEN,CHINESE,CHN,61,61,6,6.4,8,2.39520958083832,"Allada, Benin (general), Benin",BN,6.66547,2.15138,http://en.people.cn/n3/2026/0402/c90000-20442803.html,2026-04-02,2026,4,Apr 2026,14,Coopération matérielle,positif
BENIN,BEN,CHINESE,CHN,43,43,4,2.8,2,2.39520958083832,"Allada, Benin (general), Benin",BN,6.66547,2.15138,http://en.people.cn/n3/2026/0402/c90000-20442803.html,2026-04-02,2026,4,Apr 2026,14,Consultation,positif
CHINESE,CHN,BENIN,BEN,42,42,4,1.9,8,2.39520958083832,"Allada, Benin (general), Benin",BN,6.66547,2.15138,http://en.people.cn/n3/2026/0402/c90000-20442803.html,2026-04-02,2026,4,Apr 2026,14,Consultation,positif
BENIN,BEN,CHINESE,CHN,43,43,4,2.8,4,2.31990231990232,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260402/e9d62a9944244de1b05967b0ec9992a7/c.html,2026-04-01,2026,4,Apr 2026,14,Consultation,positif
BENIN,BEN,CHINESE,CHN,61,61,6,6.4,16,2.31990231990232,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260402/e9d62a9944244de1b05967b0ec9992a7/c.html,2026-04-01,2026,4,Apr 2026,14,Coopération matérielle,positif
CHINESE,CHN,BENIN,BEN,42,42,4,1.9,16,2.31990231990232,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260402/e9d62a9944244de1b05967b0ec9992a7/c.html,2026-04-01,2026,4,Apr 2026,14,Consultation,positif
CHINA,CHN,BENIN,BEN,51,51,5,3.4,10,8.11965811965812,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/cooperation-benin-chine-le-merite-academique-celebre/,2026-03-23,2026,3,Mar 2026,13,Engagement diplomatique,positif
BENIN,BEN,CHINA,CHN,61,61,6,6.4,4,4.2042042042042,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260319/b50752e15fbc45ffa472042e6b785556/c.html,2026-03-19,2026,3,Mar 2026,12,Coopération matérielle,positif
BENIN,BEN,CHINA,CHN,61,61,6,6.4,2,4.0,"Allada, Benin (general), Benin",BN,6.66547,2.15138,http://en.people.cn/n3/2026/0319/c90000-20437895.html,2026-03-19,2026,3,Mar 2026,12,Coopération matérielle,positif
CHINA,CHN,BENIN,BEN,180,180,18,-9.0,2,-6.93333333333333,Benin,BN,9.5,2.25,https://dailypost.ng/2026/02/12/man-38-five-others-dragged-to-court-over-alleged-damage-to-vehicle-tyres-worth-n600000-assault-in-edo/,2026-02-12,2026,2,Feb 2026,7,Assaut,négatif
CHINESE,CHN,FRANCE,FRA,173,173,17,-5.0,2,-6.16883116883117,Benin,BN,9.5,2.25,https://www.aljazeera.com/news/2026/2/18/kremlin-official-says-russian-navy-to-stop-wests-seizure-of-merchant-ships,2026-02-11,2026,2,Feb 2026,7,Coercition,négatif
CHINA,CHN,BENIN,BEN,43,43,4,2.8,1,4.91329479768786,Benin,BN,9.5,2.25,http://www.bjreview.com.cn/World/202601/t20260116_800428194.html,2026-01-16,2026,1,Jan 2026,3,Consultation,positif
BENIN,BEN,CHINA,CHN,42,42,4,1.9,1,4.77099236641221,Benin,BN,9.5,2.25,http://en.people.cn/n3/2026/0116/c90000-20414992.html,2026-01-16,2026,1,Jan 2026,3,Consultation,positif
CHINA,CHN,BENIN,BEN,43,43,4,2.8,1,4.77099236641221,Benin,BN,9.5,2.25,http://en.people.cn/n3/2026/0116/c90000-20414992.html,2026-01-16,2026,1,Jan 2026,3,Consultation,positif
BENIN,BEN,CHINA,CHN,42,42,4,1.9,1,4.91329479768786,Benin,BN,9.5,2.25,http://www.bjreview.com.cn/World/202601/t20260116_800428194.html,2026-01-16,2026,1,Jan 2026,3,Consultation,positif
CHINA,CHN,BENIN,BEN,43,43,4,2.8,1,5.0929112181693,Benin,BN,9.5,2.25,http://www.japanherald.com/news/278811254/xiplomacy-how-china-africa-partnership-spurs-global-south-modernization,2026-01-15,2026,1,Jan 2026,3,Consultation,positif
CHINA,CHN,BENIN,BEN,43,43,4,2.8,1,5.0929112181693,Benin,BN,9.5,2.25,http://www.middleeaststar.com/news/278811254/xiplomacy-how-china-africa-partnership-spurs-global-south-modernization,2026-01-15,2026,1,Jan 2026,3,Consultation,positif
BENIN,BEN,CHINA,CHN,42,42,4,1.9,1,5.0929112181693,Benin,BN,9.5,2.25,http://www.middleeaststar.com/news/278811254/xiplomacy-how-china-africa-partnership-spurs-global-south-modernization,2026-01-15,2026,1,Jan 2026,3,Consultation,positif
BENIN,BEN,CHINA,CHN,42,42,4,1.9,1,5.0929112181693,Benin,BN,9.5,2.25,http://www.japanherald.com/news/278811254/xiplomacy-how-china-africa-partnership-spurs-global-south-modernization,2026-01-15,2026,1,Jan 2026,3,Consultation,positif
AFRICA,AFR,CHINA,CHN,20,20,2,3.0,4,-1.65289256198347,Benin,BN,9.5,2.25,https://english.news.cn/20251020/58de08fa4e044632865014bff0b30f8c/c.html,2025-10-20,2025,10,Oct 2025,43,Appel / Demande,négatif
CHINA,CHN,BENIN,BEN,43,43,4,2.8,1,6.04133545310016,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,https://global.chinadaily.com.cn/a/202506/03/WS683e5215a310a04af22c2dac.html,2025-06-03,2025,6,Jun 2025,23,Consultation,positif
PROSECUTOR,Inconnu,CHINA,CHN,61,61,6,6.4,2,-8.79120879120875,Benin,BN,9.5,2.25,https://dailypost.ng/2025/05/22/court-remands-man-over-n10m-scam-in-benin/,2025-05-22,2025,5,May 2025,21,Coopération matérielle,négatif
PORTO NOVO,BEN,CHINESE,CHN,40,40,4,1.0,10,4.06932931424265,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,http://www.ctgtribune.com/list_60kb9/5kw7dc.html,2025-05-21,2025,5,May 2025,21,Consultation,positif
BENIN,BEN,CHINA,CHN,42,42,4,1.9,1,4.06932931424265,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,http://www.ctgtribune.com/list_60kb9/5kw7dc.html,2025-05-21,2025,5,May 2025,21,Consultation,positif
CHINESE,CHN,PORTO NOVO,BEN,46,46,4,7.0,6,4.06932931424265,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,http://www.ctgtribune.com/list_60kb9/5kw7dc.html,2025-05-21,2025,5,May 2025,21,Consultation,positif
