Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
BENIN,BEN,Inconnu,Inconnu,57,57,5,8.0,20,7.60456273764259,Benin,BN,9.5,2.25,https://www.gouv.bj:443/article/3415/cooperation-economique-regionale-apiex-cepici-signent-protocole-accord-renforcer-attractivite-investissements-entre-benin-cote-ivoire/,2026-01-21,2026,1,Jan 2026,4,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,20,3.98069963811821,Benin,BN,9.5,2.25,https://www.gouv.bj:443/article/3059/le-benin-partenaires-signent-cadre-historique-financement-climatique-dans-favoriser-reformes-investissements-creation-emplois/,2025-04-25,2025,4,Apr 2025,17,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,20,4.01459854014598,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3176/racines-beninoises-retrouvees-figures-afrodescendantes-renouent-avec-leur-identite/,2025-07-27,2025,7,Jul 2025,30,Engagement diplomatique,positif
BENIN,BEN,AFRICA,AFR,51,51,5,3.4,20,4.29864253393666,Benin,BN,9.5,2.25,https://www.gouv.bj:443/article/2984/nouveaux-services-anip-plateforme-services.anip.bj-desormais-lancee-amelioration-qualite-donnees-identification-benin/,2025-02-15,2025,2,Feb 2025,7,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,50,50,5,3.5,20,2.92056473349847,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2025/11/14/nigerian-navy-formally-hands-over-refitted-benin-vessel-opens-talk-with-gabon-equatorial-guinea-and-congo-navies/,2025-11-14,2025,11,Nov 2025,46,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,70,70,7,7.0,20,4.02186645841468,Benin,BN,9.5,2.25,https://www.gouv.bj/article/2995/la-plateforme-messages-officielle-pavillon-benin-expo-osaka-2025/,2025-02-24,2025,2,Feb 2025,9,Aide / Assistance,positif
BENIN,BEN,AFRICA,AFR,50,50,5,3.5,20,6.36363636363636,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3338/cotonou-comedy-festival-metropole-economique-prepare-accueillir-nouvelle-scene-internationale-humour/,2025-11-07,2025,11,Nov 2025,45,Engagement diplomatique,positif
BENIN,BEN,COMPANY,Inconnu,60,60,6,6.0,20,0.87209302325582,Benin,BN,9.5,2.25,https://www.ilgazzettino.it:443/nordest/rovigo/delta_group_benin_africa_ricavi-9337845.html,2026-02-04,2026,2,Feb 2026,6,Coopération matérielle,neutre
BENIN,BEN,BUSINESS LEADER,Inconnu,51,51,5,3.4,20,8.76712328767127,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3367/celebration-excellence-meilleurs-bacheliers-2025-honores-palais-congres/,2025-11-30,2025,11,Nov 2025,48,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,70,70,7,7.0,20,0.28169014084507,Benin,BN,9.5,2.25,https://www.gouv.bj:443/article/3339/icasa-2027-mission-evaluation-apprecie-niveau-preparation-benin/,2025-11-07,2025,11,Nov 2025,45,Aide / Assistance,neutre
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,20,5.0314465408805,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3489/diplomatie-nouvelle-dans-relations-entre-benin-portugal/,2026-04-25,2026,4,Apr 2026,17,Engagement diplomatique,positif
BENIN,BEN,GOVERNMENT,Inconnu,61,61,6,6.4,20,6.56455142231948,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3243/mode-benin-exporte-vestimentaire-fashion-week-york-2025/,2025-09-12,2025,9,Sep 2025,37,Coopération matérielle,positif
BENIN,BEN,Inconnu,Inconnu,57,57,5,8.0,20,6.34146341463415,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3314/benin-tourisme-expedia-group-partenariat-strategique-attirer-voyageurs-monde-entier/,2025-10-24,2025,10,Oct 2025,43,Engagement diplomatique,positif
BENIN,BEN,BENIN,BEN,51,51,5,3.4,20,5.14018691588785,Benin,BN,9.5,2.25,https://www.gouv.bj/article/3464/31%E1%B5%89-journee-internationale-femmes-benin-engage-droits-justice-action-faveur-femmes/,2026-03-08,2026,3,Mar 2026,10,Engagement diplomatique,positif
BENIN,BEN,RULER,Inconnu,51,51,5,3.4,19,0.10573812990649,Benin,BN,9.5,2.25,https://www.brandonsun.com/entertainment/2025/11/10/protesters-disrupt-the-soft-opening-of-a-new-museum-in-nigeria-that-was-to-house-returned-artifacts,2025-11-10,2025,11,Nov 2025,46,Engagement diplomatique,neutre
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,18,3.83071876994866,Benin,BN,9.5,2.25,https://levenementprecis.com/category/rubriques/art-et-culture/,2025-01-22,2025,1,Jan 2025,4,Engagement diplomatique,positif
BENIN,BEN,KINGDOM,Inconnu,57,57,5,8.0,16,2.79069767441861,Benin,BN,9.5,2.25,https://www.gouv.bj:443/article/2980/renforcement-cooperation-culturelle-benin-royaume-arabie-saoudite-signent-memorandum-entente-jean-michel-abimbola-partage-experience-benin-avec-pairs-monde-islamique-/,2025-02-12,2025,2,Feb 2025,7,Engagement diplomatique,positif
BENIN,BEN,CHINESE,CHN,61,61,6,6.4,16,2.31990231990232,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260402/e9d62a9944244de1b05967b0ec9992a7/c.html,2026-04-01,2026,4,Apr 2026,14,Coopération matérielle,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,14,7.74647887323944,Benin,BN,9.5,2.25,https://aninews.in/news/world/others/uae-ambassador-to-benin-meets-minister-of-nursery-amp-primary-education20251108214656/,2025-11-08,2025,11,Nov 2025,45,Engagement diplomatique,positif
BENIN,BEN,ENTREPRENEUR,Inconnu,70,70,7,7.0,14,1.73021216628826,Benin,BN,9.5,2.25,https://www.tvcnews.tv/fg-secures-release-of-nigerian-pastor-egbaji-from-benin-republic-prison/,2026-01-08,2026,1,Jan 2026,2,Aide / Assistance,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,12,8.47457627118644,Benin,BN,9.5,2.25,https://www.gouv.bj:443/article/3264/le-benin-honneur-york-fashion-week-jour-benin-riche-promesses/,2025-09-21,2025,9,Sep 2025,38,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,12,4.69786303268526,Benin,BN,9.5,2.25,https://www.nigerianobservernews.com/from-benin-bronzes-to-digital-brushes-tracing-nigerias-artistic-evolution/,2025-12-14,2025,12,Dec 2025,50,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,12,6.84931506849316,"Ganvie, Benin (general), Benin",BN,6.46441,2.39288,https://www.gouv.bj:443/article/3065/cotonou-accueille-plus-grand-navire-croisiere-histoire-crystal-symphony/,2025-04-29,2025,4,Apr 2025,18,Engagement diplomatique,positif
BENIN,BEN,BANK,Inconnu,57,57,5,8.0,10,6.37931034482758,Benin,BN,9.5,2.25,https://www.ieyenews.com/islamic-corporation-for-the-development-of-the-private-sector-icd-strengthens-partnership-with-coris-bank-international-benin-through-eur-25-million-shariah-compliant-line-of-financing-to-boost-smal/,2026-01-09,2026,1,Jan 2026,2,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,57,57,5,8.0,10,7.38916256157635,"Ouidah, Atlantique, Benin",BN,6.36307,2.08506,https://thenet.ng/kunle-afolayan-productions-partnership-benin-republic/,2026-02-20,2026,2,Feb 2026,8,Engagement diplomatique,positif
BENIN,BEN,COMPANY,Inconnu,51,51,5,3.4,10,5.97014925373135,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2025/11/12/baecc-advances-work-on-benin-asaba-expressway/,2025-11-12,2025,11,Nov 2025,46,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,10,2.89017341040462,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2025/10/cdc-benin-maryse-lokossou-sur-les-traces-de-la-sbpm-a-seme-podji/,2025-10-24,2025,10,Oct 2025,43,Engagement diplomatique,positif
BENIN,BEN,ASTANA,KAZ,57,57,5,8.0,10,5.49450549450549,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2025/04/partenariat-bilateral-le-benin-signe-un-memorandum-avec-le-kazakhstan/,2025-04-19,2025,4,Apr 2025,16,Engagement diplomatique,positif
BENIN,BEN,QATAR,QAT,51,51,5,3.4,10,2.89855072463768,Benin,BN,9.5,2.25,https://visages-du-benin.com/bande-de-gaza-le-benin-felicite-le-qatar-pour-ses-efforts-en-faveur-dun-cessez-le-feu-permanent/,2025-01-16,2025,1,Jan 2025,3,Engagement diplomatique,positif
BENIN,BEN,COMPANY,Inconnu,51,51,5,3.4,10,4.94186046511628,Benin,BN,9.5,2.25,https://newtelegraphng.com/baecc-advances-work-on-benin-asaba-expressway/,2025-10-30,2025,10,Oct 2025,44,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,10,0.54495912806539,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2025/12/legislatives-au-benin-la-cena-devoile-le-classement-des-partis/,2025-12-01,2025,12,Dec 2025,49,Engagement diplomatique,neutre
BENIN,BEN,AFRICA,AFR,51,51,5,3.4,10,3.47593582887701,Benin,BN,9.5,2.25,https://punchng.com/firm-urges-infrastructure-support-for-aviation-sector/,2025-07-02,2025,7,Jul 2025,27,Engagement diplomatique,positif
BENIN,BEN,ADMINISTRATION,Inconnu,51,51,5,3.4,10,1.88205771643663,Benin,BN,9.5,2.25,https://fr.allafrica.com/stories/202512160252.html,2025-12-16,2025,12,Dec 2025,51,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,10,1.20481927710843,Benin,BN,9.5,2.25,https://www.africatopsuccess.com/independance-du-benin-les-forces-armees-des-pays-de-laes-attendues/,2025-07-21,2025,7,Jul 2025,30,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,10,2.01342281879195,"Ouidah, Atlantique, Benin",BN,6.36307,2.08506,https://www.taipeitimes.com/News/world/archives/2026/04/18/2003855830,2026-04-17,2026,4,Apr 2026,16,Engagement diplomatique,positif
