Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
Inconnu,Inconnu,BUSINESS,Inconnu,43,43,4,2.8,10,4.18679549114332,Benin,BN,9.5,2.25,https://www.ecowas.int/ecowas-unctad-support-women-entrepreneurs-to-leverage-digital-skills-for-business-growth/,2026-04-01,2026,4,Apr 2026,14,Consultation,positif
BUSINESS,Inconnu,Inconnu,Inconnu,42,42,4,1.9,10,4.18679549114332,Benin,BN,9.5,2.25,https://www.ecowas.int/ecowas-unctad-support-women-entrepreneurs-to-leverage-digital-skills-for-business-growth/,2026-04-01,2026,4,Apr 2026,14,Consultation,positif
AFRICA,AFR,BENIN,BEN,51,51,5,3.4,1,4.56942003514939,Benin,BN,9.5,2.25,https://www.worldbank.org/en/news/feature/2026/03/24/from-potential-to-skills-and-real-jobs-how-young-women-are-powering-change-in-western-and-central-africa,2026-03-24,2026,3,Mar 2026,13,Engagement diplomatique,positif
UNITED NATIONS,Inconnu,Inconnu,Inconnu,71,71,7,7.4,10,0.0,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-agriculture/1303-53741-morocco-targets-sustainable-sardine-and-anchovy-fisheries-with-global-initiative,2026-03-13,2026,3,Mar 2026,11,Aide / Assistance,neutre
MOROCCO,MAR,BENIN,BEN,10,10,1,0.0,8,0.0,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-agriculture/1303-53741-morocco-targets-sustainable-sardine-and-anchovy-fisheries-with-global-initiative,2026-03-13,2026,3,Mar 2026,11,Déclaration publique,neutre
WORLD BANK,Inconnu,Inconnu,Inconnu,10,10,1,0.0,8,1.4957264957265,"Bassila, Benin (general), Benin",BN,9.00814,1.6654,https://www.ecofinagency.com/news-services/1203-53706-benin-launches-first-three-projects-in-26-school-agricultural-training-plan,2026-03-12,2026,3,Mar 2026,11,Déclaration publique,positif
AUTHORITIES,Inconnu,Inconnu,Inconnu,10,10,1,0.0,10,1.4957264957265,"Bassila, Benin (general), Benin",BN,9.00814,1.6654,https://www.ecofinagency.com/news-services/1203-53706-benin-launches-first-three-projects-in-26-school-agricultural-training-plan,2026-03-12,2026,3,Mar 2026,11,Déclaration publique,positif
BENIN,BEN,AUTHORITIES,Inconnu,355,35,3,7.0,2,1.4957264957265,"Bassila, Benin (general), Benin",BN,9.00814,1.6654,https://www.ecofinagency.com/news-services/1203-53706-benin-launches-first-three-projects-in-26-school-agricultural-training-plan,2026-03-12,2026,3,Mar 2026,11,Coopération,positif
AUTHORITIES,Inconnu,BENIN,BEN,36,36,3,4.0,2,1.4957264957265,"Bassila, Benin (general), Benin",BN,9.00814,1.6654,https://www.ecofinagency.com/news-services/1203-53706-benin-launches-first-three-projects-in-26-school-agricultural-training-plan,2026-03-12,2026,3,Mar 2026,11,Coopération,positif
NIGERIA,NGA,Inconnu,Inconnu,10,10,1,0.0,2,5.01930501930502,Benin,BN,9.5,2.25,https://www.pulse.ng/story/benin-city-1m-bloomberg-award-2026030905132969797,2026-03-09,2026,3,Mar 2026,11,Déclaration publique,positif
STATE GOVERNOR,Inconnu,BENIN CITY,NGA,10,10,1,0.0,2,5.01930501930502,Benin,BN,9.5,2.25,https://www.pulse.ng/story/benin-city-1m-bloomberg-award-2026030905132969797,2026-03-09,2026,3,Mar 2026,11,Déclaration publique,positif
GOVERNOR,Inconnu,Inconnu,Inconnu,10,10,1,0.0,10,6.80473372781065,Benin,BN,9.5,2.25,https://www.arise.tv/benin-city-wins-1-million-bloomberg-mayors-challenge-for-healthcare-innovation/,2026-03-09,2026,3,Mar 2026,11,Déclaration publique,positif
GOVERNOR,Inconnu,Inconnu,Inconnu,10,10,1,0.0,10,6.4638783269962,Benin,BN,9.5,2.25,https://punchng.com/benin-city-wins-1m-bloomberg-innovation-prize-edo-gov-cps/,2026-03-08,2026,3,Mar 2026,10,Déclaration publique,positif
A CABINET MEETING,Inconnu,Inconnu,Inconnu,36,36,3,4.0,10,-4.4811320754717,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-infrastructures/0503-53493-benin-plans-surveillance-camera-network-to-strengthen-security-and-traffic-control,2026-03-05,2026,3,Mar 2026,10,Coopération,négatif
Inconnu,Inconnu,A CABINET MEETING,Inconnu,36,36,3,4.0,10,-4.4811320754717,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-infrastructures/0503-53493-benin-plans-surveillance-camera-network-to-strengthen-security-and-traffic-control,2026-03-05,2026,3,Mar 2026,10,Coopération,négatif
AUTHORITIES,Inconnu,Inconnu,Inconnu,90,90,9,-2.0,10,-4.4811320754717,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-infrastructures/0503-53493-benin-plans-surveillance-camera-network-to-strengthen-security-and-traffic-control,2026-03-05,2026,3,Mar 2026,10,Médiation,négatif
BENIN,BEN,Inconnu,Inconnu,14,14,1,0.0,10,-4.4811320754717,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-infrastructures/0503-53493-benin-plans-surveillance-camera-network-to-strengthen-security-and-traffic-control,2026-03-05,2026,3,Mar 2026,10,Déclaration publique,négatif
DEVELOPMENT AGENC,Inconnu,Inconnu,Inconnu,70,70,7,7.0,10,2.97029702970297,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-finances/2702-53311-benin-nsia-bank-secures-20-million-proparco-guarantee-for-smes,2026-02-27,2026,2,Feb 2026,9,Aide / Assistance,positif
BENIN,BEN,Inconnu,Inconnu,170,170,17,-7.0,8,-7.06860706860708,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/2602-53287-benin-steps-up-enforcement-on-overloaded-trucks-as-region-struggles-with-consistency,2026-02-26,2026,2,Feb 2026,9,Coercition,négatif
PRESIDENT,Inconnu,QATAR,QAT,40,40,4,1.0,2,1.87165775401069,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/1402-52909-amazone-airlines-benin-s-future-national-carrier-cleared-for-takeoff,2026-02-14,2026,2,Feb 2026,7,Consultation,positif
VILLAGE,Inconnu,BANDIT,Inconnu,112,112,11,-2.0,5,-13.1195335276968,Benin,BN,9.5,2.25,https://www.internazionale.it/ultime-notizie-reuters/2026/02/14/assailants-kill-at-least-30-in-northwest-nigeria-villages-residents-say,2026-02-14,2026,2,Feb 2026,7,Désapprobation,négatif
QATAR,QAT,PRESIDENT,Inconnu,40,40,4,1.0,2,1.87165775401069,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/1402-52909-amazone-airlines-benin-s-future-national-carrier-cleared-for-takeoff,2026-02-14,2026,2,Feb 2026,7,Consultation,positif
BENIN,BEN,PRESIDENT,Inconnu,40,40,4,1.0,10,1.87165775401069,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/1402-52909-amazone-airlines-benin-s-future-national-carrier-cleared-for-takeoff,2026-02-14,2026,2,Feb 2026,7,Consultation,positif
GUINEA BISSAU,GNB,Inconnu,Inconnu,20,20,2,3.0,1,-2.67175572519084,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-agriculture/0902-52685-ivory-coast-cuts-cashew-prices-6-amid-u-s-market-uncertainty,2026-02-09,2026,2,Feb 2026,7,Appel / Demande,négatif
GOVERNMENT,Inconnu,Inconnu,Inconnu,10,10,1,0.0,10,0.57142857142857,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,https://www.ecofinagency.com/news-services/0602-52643-benin-moves-to-digital-campuses-as-university-overcrowding-intensifies,2026-02-06,2026,2,Feb 2026,6,Déclaration publique,neutre
NIGER,NER,BENIN,BEN,1123,112,11,-2.0,2,-7.25,Benin,BN,9.5,2.25,https://www.internazionale.it/ultime-notizie-reuters/2026/02/02/gun-wielding-is-militants-roamed-freely-on-airport-tarmac-during-niger-attack-footage-shows,2026-02-02,2026,2,Feb 2026,6,Désapprobation,négatif
COTONOU,BEN,JOURNALIST,Inconnu,43,43,4,2.8,10,-1.41414141414141,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/0102-52466-weekly-health-update-africa-makes-progress-on-ntds-manages-outbreaks,2026-02-01,2026,2,Feb 2026,5,Consultation,négatif
AFRICA,AFR,ADDIS ABABA,ETH,42,42,4,1.9,10,-1.41414141414141,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/0102-52466-weekly-health-update-africa-makes-progress-on-ntds-manages-outbreaks,2026-02-01,2026,2,Feb 2026,5,Consultation,négatif
JOURNALIST,Inconnu,COTONOU,BEN,42,42,4,1.9,10,-1.41414141414141,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-services/0102-52466-weekly-health-update-africa-makes-progress-on-ntds-manages-outbreaks,2026-02-01,2026,2,Feb 2026,5,Consultation,négatif
AFRICA,AFR,BENIN,BEN,331,33,3,5.2,10,0.75566750629723,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-industry/2901-52373-benin-to-build-nine-rural-solar-mini-grids-with-2-9-million-financing,2026-01-29,2026,1,Jan 2026,5,Coopération,neutre
Inconnu,Inconnu,BENIN,BEN,57,57,5,8.0,2,3.82165605095541,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-industry/2301-52215-pan-african-izili-acquires-qotto-raises-5mln-to-expand-off-grid-solar-in-west-africa,2026-01-23,2026,1,Jan 2026,4,Engagement diplomatique,positif
BENIN,BEN,Inconnu,Inconnu,57,57,5,8.0,2,3.82165605095541,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-industry/2301-52215-pan-african-izili-acquires-qotto-raises-5mln-to-expand-off-grid-solar-in-west-africa,2026-01-23,2026,1,Jan 2026,4,Engagement diplomatique,positif
AFRICA,AFR,Inconnu,Inconnu,51,51,5,3.4,4,3.82165605095541,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-industry/2301-52215-pan-african-izili-acquires-qotto-raises-5mln-to-expand-off-grid-solar-in-west-africa,2026-01-23,2026,1,Jan 2026,4,Engagement diplomatique,positif
BANK,Inconnu,UNITED STATES,USA,46,46,4,7.0,10,0.0,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/team/n/nazaire-idrissou-houssou,2026-01-23,2026,1,Jan 2026,4,Consultation,neutre
UNITED STATES,USA,BANK,Inconnu,46,46,4,7.0,10,0.0,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/team/n/nazaire-idrissou-houssou,2026-01-23,2026,1,Jan 2026,4,Consultation,neutre
WORLD BANK,Inconnu,BENIN,BEN,46,46,4,7.0,10,0.0,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/team/e/erick-abiassi,2026-01-23,2026,1,Jan 2026,4,Consultation,neutre
BENIN,BEN,WORLD BANK,Inconnu,46,46,4,7.0,10,0.0,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/team/e/erick-abiassi,2026-01-23,2026,1,Jan 2026,4,Consultation,neutre
Inconnu,Inconnu,FARMER,Inconnu,51,51,5,3.4,10,1.02739726027398,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/africacan/transforming-agriculture-in-benin-overcoming-challenges-and-unlocking-potential,2026-01-23,2026,1,Jan 2026,4,Engagement diplomatique,positif
WORLD BANK,Inconnu,BENIN,BEN,51,51,5,3.4,10,1.02739726027398,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/africacan/transforming-agriculture-in-benin-overcoming-challenges-and-unlocking-potential,2026-01-23,2026,1,Jan 2026,4,Engagement diplomatique,positif
LEADING BANK,Inconnu,Inconnu,Inconnu,71,71,7,7.4,10,0.0,Benin,BN,9.5,2.25,https://blogs.worldbank.org/en/team/n/nazaire-idrissou-houssou,2026-01-23,2026,1,Jan 2026,4,Aide / Assistance,neutre
BENIN,BEN,Inconnu,Inconnu,35,35,3,7.0,10,0.88757396449704,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-finances/2001-52089-benin-to-roll-out-national-financial-complaints-platform-in-april,2026-01-20,2026,1,Jan 2026,4,Coopération,neutre
BENIN,BEN,Inconnu,Inconnu,114,114,11,-2.0,10,0.88757396449704,Benin,BN,9.5,2.25,https://www.ecofinagency.com/news-finances/2001-52089-benin-to-roll-out-national-financial-complaints-platform-in-april,2026-01-20,2026,1,Jan 2026,4,Désapprobation,neutre
