Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
CIVIL SERVANT,Inconnu,Inconnu,Inconnu,42,42,4,1.9,10,0.0,Benin,BN,9.5,2.25,https://nigerianobservernews.com/2026/04/edo-workers-rally-for-may-day-as-nlc-flags-insecurity-poverty/,2026-04-30,2026,4,Apr 2026,18,Consultation,neutre
Inconnu,Inconnu,CIVIL SERVANT,Inconnu,43,43,4,2.8,10,0.0,Benin,BN,9.5,2.25,https://nigerianobservernews.com/2026/04/edo-workers-rally-for-may-day-as-nlc-flags-insecurity-poverty/,2026-04-30,2026,4,Apr 2026,18,Consultation,neutre
KONGO,Inconnu,AFRICA,AFR,15,15,1,0.0,4,-5.72460030943786,Benin,BN,9.5,2.25,https://thebftonline.com/2026/04/13/the-business-strategy-analyst-with-jules-nartey-tokoli-pinpointing-responsibility-power-and-narrative-in-the-transatlantic-slave-trade-and-the-contemporary-reparations-debate-i/,2026-04-14,2026,4,Apr 2026,16,Déclaration publique,négatif
KONGO,Inconnu,AFRICA,AFR,110,110,11,-2.0,2,-5.72460030943786,Benin,BN,9.5,2.25,https://thebftonline.com/2026/04/13/the-business-strategy-analyst-with-jules-nartey-tokoli-pinpointing-responsibility-power-and-narrative-in-the-transatlantic-slave-trade-and-the-contemporary-reparations-debate-i/,2026-04-14,2026,4,Apr 2026,16,Désapprobation,négatif
CONGO,COG,MIGRANT,Inconnu,36,36,3,4.0,10,-1.15273775216138,Benin,BN,9.5,2.25,https://noticiabrasil.net.br/20260410/como-a-pressao-migratoria-enfraquece-a-autonomia-de-paises-da-africa-com-a-europa-49545990.html,2026-04-10,2026,4,Apr 2026,15,Coopération,négatif
CIVIL SOCIETY,Inconnu,THE OPPOSITION,Inconnu,120,120,12,-4.0,10,-1.9650655021834,Benin,BN,9.5,2.25,https://africapresse.com/presidentielle-au-benin-la-cedeao-deploie-plus-de-95-observateurs-pour-un-scrutin-sous-tension/,2026-04-09,2026,4,Apr 2026,15,Rejet / Refus,négatif
UNITED NATIONS,Inconnu,Inconnu,Inconnu,51,51,5,3.4,10,-6.1038961038961,Benin,BN,9.5,2.25,https://jamaica-gleaner.com/article/commentary/20260408/francesca-tavares-slave-trades-un-forgot,2026-04-07,2026,4,Apr 2026,15,Engagement diplomatique,négatif
UNITED NATIONS,Inconnu,Inconnu,Inconnu,15,15,1,0.0,10,-6.1038961038961,Benin,BN,9.5,2.25,https://jamaica-gleaner.com/article/commentary/20260408/francesca-tavares-slave-trades-un-forgot,2026-04-07,2026,4,Apr 2026,15,Déclaration publique,négatif
CIVILIAN,Inconnu,MILITARY,Inconnu,112,112,11,-2.0,10,-7.36949846468782,Benin,BN,9.5,2.25,https://www.ultimaedizione.eu/il-sahel-e-il-terrorismo-mondiale-di-edoardo-almagia/,2026-04-06,2026,4,Apr 2026,15,Désapprobation,négatif
COTONOU,BEN,CIVIL SOCIETY,Inconnu,26,26,2,4.0,5,1.78571428571428,Benin,BN,9.5,2.25,http://www.panapress.com/Benin-CSOs-call-for-political-di-a_630790009-lang2.html,2026-04-05,2026,4,Apr 2026,14,Appel / Demande,positif
CIVILIAN,Inconnu,MILITARY,Inconnu,112,112,11,-2.0,10,-7.31958762886598,Benin,BN,9.5,2.25,https://www.politicainsieme.com/sahel-lepicentro-globale-del-terrorismo-di-edoardo-almagia/,2026-04-05,2026,4,Apr 2026,14,Désapprobation,négatif
CIVIL SOCIETY,Inconnu,DETAINEE,Inconnu,111,111,11,-2.0,10,-9.48616600790509,Benin,BN,9.5,2.25,https://saharareporters.com/2026/04/01/edo-civil-coalition-demands-probe-removal-ndlea-commander-after-female-detainee-died,2026-04-01,2026,4,Apr 2026,14,Désapprobation,négatif
HEALTH PROFESSIONAL,Inconnu,Inconnu,Inconnu,110,110,11,-2.0,10,-2.34023402340234,"Djougou, Donga, Benin",BN,9.70853,1.66598,https://lanouvelletribune.info/2026/03/sante-sexuelle-au-benin-une-etude-revele-une-forte-prevalence-de-douleurs-et-de-dysfonctions-chez-les-femmes/,2026-03-30,2026,3,Mar 2026,14,Désapprobation,négatif
