Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
ZIMBABWE,ZWE,Inconnu,Inconnu,125,125,12,-5.0,8,-1.92307692307692,Benin,BN,9.5,2.25,https://eahelqesa.com/news/%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A7%D9%84%D9%81%D8%B1%D8%A7%D8%B9%D9%86%D8%A9-%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D9%85%D8%B5%D8%B1-%D9%81%D9%8A-%D8%AB%D9%85%D9%86,2026-01-01,2026,1,Jan 2026,1,Rejet / Refus,négatif
SIERRA LEONE,SLE,Inconnu,Inconnu,81,81,8,5.0,10,3.79362670713201,"Ouidah, Atlantique, Benin",BN,6.36307,2.08506,https://www.blackenterprise.com/minding-our-own-business-5-african-nations-diaspora-repatriation-movement/,2026-01-31,2026,1,Jan 2026,5,Accord / Coopération,positif
NIGERIAN,NGA,Inconnu,Inconnu,874,87,8,10.0,10,0.0,Benin,BN,9.5,2.25,https://africalog.com/benin-retrait-des-troupes-nigerianes-du-camp-togbin/,2026-02-01,2026,2,Feb 2026,5,Accord / Coopération,neutre
RIGHTS GROUP,Inconnu,BENIN,BEN,243,24,2,-0.3,10,-5.54323725055432,Benin,BN,9.5,2.25,https://www.jurist.org/news/2026/01/rights-groups-urge-benin-political-candidates-to-prioritize-human-rights/,2026-01-09,2026,1,Jan 2026,2,Appel / Demande,négatif
PRISONER,Inconnu,Inconnu,Inconnu,22,22,2,3.2,10,-2.62172284644194,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-des-fideles-musulmans-implorent-la-clemence-de-talon-pour-reckya-madougou-5-ans-apres-son-arrestation/,2025-03-04,2025,3,Mar 2025,10,Appel / Demande,négatif
BENIN,BEN,Inconnu,Inconnu,241,24,2,-0.3,5,1.04166666666666,Benin,BN,9.5,2.25,https://www.channelafrica.co.za/channelafrica/news/benin-electoral-chief-calls-for-peaceful-campaigning-ahead-of-elections/,2026-01-08,2026,1,Jan 2026,2,Appel / Demande,positif
BENIN,BEN,CHANCELLOR,Inconnu,41,41,4,1.0,10,0.0,Benin,BN,9.5,2.25,https://ultimasnoticias.com.ve/politica/republica-de-benin-ratifica-su-apoyo-a-venezuela-tras-ataque-imperial/,2026-01-07,2026,1,Jan 2026,2,Consultation,neutre
NIGERIA,NGA,Inconnu,Inconnu,311,31,3,5.2,10,4.43037974683544,Benin,BN,9.5,2.25,http://www.24haubenin.info/?Un-spectacle-100-nigerian-sur-le-FInAB-ce-samedi-au-Family-Beach,2026-02-21,2026,2,Feb 2026,8,Coopération,positif
MAGAZINE,Inconnu,AFRICA,AFR,174,174,17,-5.0,4,-3.78619153674833,Benin,BN,9.5,2.25,https://fr.allafrica.com/stories/202604040131.html,2026-04-04,2026,4,Apr 2026,14,Coercition,négatif
BENIN,BEN,Inconnu,Inconnu,26,26,2,4.0,10,1.78571428571428,Benin,BN,9.5,2.25,http://www.panapress.com/Benin-CSOs-call-for-political-di-a_630790009-lang2.html,2026-04-05,2026,4,Apr 2026,14,Appel / Demande,positif
COTONOU,BEN,CIVIL SOCIETY,Inconnu,26,26,2,4.0,5,1.78571428571428,Benin,BN,9.5,2.25,http://www.panapress.com/Benin-CSOs-call-for-political-di-a_630790009-lang2.html,2026-04-05,2026,4,Apr 2026,14,Appel / Demande,positif
AUTHORITIES,Inconnu,Inconnu,Inconnu,125,125,12,-5.0,10,-3.80549682875264,Benin,BN,9.5,2.25,https://www.afriquesenlutte.org/afrique-de-l-ouest/benin/article/benin-motion-de-greve-a-l-4142,2026-04-05,2026,4,Apr 2026,14,Rejet / Refus,négatif
NIGERIEN,NER,TUAREG,Inconnu,72,72,7,8.3,2,-2.74599542334096,Benin,BN,9.5,2.25,https://united24media.com/latest-news/ukraine-denies-niger-juntas-claims-of-ukrainian-fighters-in-benin-16025,2026-02-18,2026,2,Feb 2026,8,Aide / Assistance,négatif
BENIN,BEN,Inconnu,Inconnu,138,138,13,-7.0,4,-3.80952380952381,Benin,BN,9.5,2.25,https://quicknews-africa.net/benin-ndlea-army-arrest-5-suspects-recover-11297-tramadol-capsules-other-substance/,2026-02-10,2026,2,Feb 2026,7,Menace,négatif
FARMER,Inconnu,Inconnu,Inconnu,192,192,19,-9.5,10,3.13390313390313,Benin,BN,9.5,2.25,https://www.wjcl.com/article/chopped-winner-leads-cooking-workshop-in-savannah/70123726,2026-01-24,2026,1,Jan 2026,4,Violence de masse,positif
NIGERIA,NGA,Inconnu,Inconnu,1043,104,10,-5.0,2,-6.85805422647528,Benin,BN,9.5,2.25,https://saharareporters.com/2026/01/04/edo-govs-alleged-loyalist-who-brutalised-female-employee-over-n40000-salary-writes,2026-01-04,2026,1,Jan 2026,1,Demande / Aide,négatif
BENIN,BEN,EMBASSY,Inconnu,161,161,16,-4.0,10,-6.88172043010753,Benin,BN,9.5,2.25,https://africapresse.com/apres-laccusation-dactivites-subversives-le-benin-suspend-ses-activites-diplomatiques-au-niger/,2026-01-04,2026,1,Jan 2026,1,Réduction des relations,négatif
BENIN,BEN,EMBASSY,Inconnu,161,161,16,-4.0,10,-2.2508038585209,Benin,BN,9.5,2.25,https://fr.allafrica.com/stories/202601050114.html,2026-01-05,2026,1,Jan 2026,2,Réduction des relations,négatif
CHANCELLOR,Inconnu,Inconnu,Inconnu,44,44,4,2.5,10,1.49597238204833,Benin,BN,9.5,2.25,https://www.guineaecuatorialpress.com/noticias/celebracion_de_la_conferencia_internacional_de_las_grandes_cancillerias_francofonas_2026,2026-02-27,2026,2,Feb 2026,9,Consultation,positif
STUDENT,Inconnu,Inconnu,Inconnu,331,33,3,5.2,10,-3.1104199066874,Benin,BN,9.5,2.25,https://www.dw.com/fr/conditions-de-vie-des-%C3%A9tudiants-en-afrique-francophone/a-76142779,2026-02-26,2026,2,Feb 2026,9,Coopération,négatif
BENIN,BEN,Inconnu,Inconnu,17,17,1,0.0,10,5.23076923076923,"Ouidah, Atlantique, Benin",BN,6.36307,2.08506,https://www.africanews.com/2026/01/11/thousands-gather-to-mark-benins-vodun-days-showcasing-local-culture/,2026-01-11,2026,1,Jan 2026,2,Déclaration publique,positif
POLICE,Inconnu,PROTESTER,Inconnu,1014,101,10,-5.0,10,-6.34920634920635,Benin,BN,9.5,2.25,https://saharareporters.com/2026/01/11/edo-police-launch-probe-after-soldier-shoots-protester-during-ekpoma-demonstration-say,2026-01-11,2026,1,Jan 2026,2,Demande / Aide,négatif
NIGERIEN,NER,Inconnu,Inconnu,161,161,16,-4.0,1,-9.22330097087381,Benin,BN,9.5,2.25,https://www.el-balad.com/6812982,2026-01-05,2026,1,Jan 2026,2,Réduction des relations,négatif
THIEF,Inconnu,Inconnu,Inconnu,160,160,16,-4.0,10,-4.25531914893617,Benin,BN,9.5,2.25,https://gabonactu.com/blog/2026/01/05/oyem-un-voleur-trahi-par-sa-diarrhee-verbale/,2026-01-05,2026,1,Jan 2026,2,Réduction des relations,négatif
NIAMEY,NER,AMBASSADOR,Inconnu,161,161,16,-4.0,10,-5.17241379310345,Benin,BN,9.5,2.25,https://fr.allafrica.com/stories/202601050207.html,2026-01-05,2026,1,Jan 2026,2,Réduction des relations,négatif
NIAMEY,NER,BENIN,BEN,161,161,16,-4.0,6,-3.2258064516129,Benin,BN,9.5,2.25,https://bamada.net/niger-benin-les-tensions-atteignent-un-point-critique,2026-01-05,2026,1,Jan 2026,2,Réduction des relations,négatif
BENIN,BEN,CONSTAB,Inconnu,114,114,11,-2.0,10,-4.83091787439614,Benin,BN,9.5,2.25,https://www.union.sonapresse.com/fr/mitzic-rattrape-et-ecroue-apres-trois-mois-de-cavale,2026-01-04,2026,1,Jan 2026,1,Désapprobation,négatif
COTONOU,BEN,LAGOS,NGA,192,192,19,-9.5,5,-6.4327485380117,Benin,BN,9.5,2.25,https://saharareporters.com/2026/02/22/ndlea-arrests-woman-tramadol-stuffed-baby-bump-seme-border-ivorian-excretes-82-pellets,2026-02-22,2026,2,Feb 2026,8,Violence de masse,négatif
VOTER,Inconnu,Inconnu,Inconnu,831,83,8,5.0,10,1.07758620689655,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-lamicale-des-cadres-des-collines-veut-relever-le-taux-de-participation-aux-elections/,2026-03-09,2026,3,Mar 2026,11,Accord / Coopération,positif
TELEVISION,Inconnu,REPRESENTATIVES,Inconnu,45,45,4,5.0,10,-2.72479564032698,Benin,BN,9.5,2.25,https://www.newsghana.com.gh/ecowas-trains-benin-media-and-civil-groups-ahead-of-april-presidential-poll/,2026-03-09,2026,3,Mar 2026,11,Consultation,négatif
INVESTOR,Inconnu,BENIN,BEN,331,33,3,5.2,10,5.5793991416309,Benin,BN,9.5,2.25,https://allafrica.com/stories/202603090005.html,2026-03-09,2026,3,Mar 2026,11,Coopération,positif
MILITANT,Inconnu,BENIN,BEN,62,62,6,7.4,2,-10.5072463768116,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://www.myjoyonline.com/militants-kill-15-soldiers-in-northern-benin-attack-army-says/,2026-03-09,2026,3,Mar 2026,11,Coopération matérielle,négatif
BENIN,BEN,NIGERIA,NGA,32,32,3,4.5,10,-5.15021459227467,"Borgou, Borgou, Benin",BN,9.75,2.75,https://allafrica.com/stories/202603090010.html,2026-03-09,2026,3,Mar 2026,11,Coopération,négatif
BENIN,BEN,AUTHORITIES,Inconnu,355,35,3,7.0,2,1.4957264957265,"Bassila, Benin (general), Benin",BN,9.00814,1.6654,https://www.ecofinagency.com/news-services/1203-53706-benin-launches-first-three-projects-in-26-school-agricultural-training-plan,2026-03-12,2026,3,Mar 2026,11,Coopération,positif
STUDENT,Inconnu,Inconnu,Inconnu,163,163,16,-8.0,10,4.36681222707424,Benin,BN,9.5,2.25,http://www.24haubenin.info/?Talon-echange-avec-les-etudiants-en-medecine-60827-60827-60827,2026-03-19,2026,3,Mar 2026,12,Réduction des relations,positif
AFRICAN DEVELOPMENT BANK,AFR,WORLD BANK,Inconnu,153,153,15,-7.2,3,5.34402137608551,Benin,BN,9.5,2.25,https://www.prnewswire.com/news-releases/rockefeller-foundation-global-energy-alliance-invest-more-than-us100-million-to-expand-electricity-in-africa-302719216.html,2026-03-19,2026,3,Mar 2026,12,Force non militaire,positif
WORLD BANK,Inconnu,AFRICAN DEVELOPMENT BANK,AFR,153,153,15,-7.2,3,5.34402137608551,Benin,BN,9.5,2.25,https://www.prnewswire.com/news-releases/rockefeller-foundation-global-energy-alliance-invest-more-than-us100-million-to-expand-electricity-in-africa-302719216.html,2026-03-19,2026,3,Mar 2026,12,Force non militaire,positif
UNITED STATES,USA,AFRICAN DEVELOPMENT BANK,AFR,153,153,15,-7.2,4,5.34402137608551,Benin,BN,9.5,2.25,https://www.prnewswire.com/news-releases/rockefeller-foundation-global-energy-alliance-invest-more-than-us100-million-to-expand-electricity-in-africa-302719216.html,2026-03-19,2026,3,Mar 2026,12,Force non militaire,positif
KENYAN,KEN,KENYAN,KEN,72,72,7,8.3,10,1.05820105820106,Benin,BN,9.5,2.25,https://www.army.mil/article/290382/us_civil_affairs_soldiers_kenyan_partners_strengthen_relationships_with_a_medical_camp,2026-02-06,2026,2,Feb 2026,6,Aide / Assistance,positif
AFRICA,AFR,Inconnu,Inconnu,125,125,12,-5.0,2,-0.43541364296081,Benin,BN,9.5,2.25,https://www.theroot.com/dont-let-ishowspeeds-attack-in-africa-distract-from-the-2000086282,2026-01-26,2026,1,Jan 2026,5,Rejet / Refus,neutre
SPOKESMAN,Inconnu,MINIST,Inconnu,831,83,8,5.0,10,-2.67379679144385,Benin,BN,9.5,2.25,https://www.africatopsuccess.com/benin-la-campagne-de-romuald-wadagni-se-fera-sans-fonds-publics/,2026-01-26,2026,1,Jan 2026,5,Accord / Coopération,négatif
POLICE,Inconnu,Inconnu,Inconnu,214,21,2,3.4,5,-5.73139435414884,Benin,BN,9.5,2.25,https://saharareporters.com/2026/01/28/family-pleads-edo-governor-okpebholo-release-former-aide-aigbogun-rotting-detention,2026-01-28,2026,1,Jan 2026,5,Appel / Demande,négatif
MINIST OF HEALTH,Inconnu,Inconnu,Inconnu,1014,101,10,-5.0,10,-0.68181818181819,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/01/benin-le-gouvernement-se-saisit-de-laffaire-du-deces-au-chud-de-loueme/,2026-01-28,2026,1,Jan 2026,5,Demande / Aide,neutre
