Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
BENIN,BEN,Inconnu,Inconnu,173,173,17,-5.0,4,-11.3636363636364,Benin,BN,9.5,2.25,https://ifex.org/beninese-digital-activist-jailed-for-online-criticism/,2025-06-11,2025,6,Jun 2025,24,Coercition,négatif
BENINESE,BEN,Inconnu,Inconnu,172,172,17,-5.0,10,-11.3636363636364,Benin,BN,9.5,2.25,https://ifex.org/beninese-digital-activist-jailed-for-online-criticism/,2025-06-11,2025,6,Jun 2025,24,Coercition,négatif
BENINESE,BEN,ACTIVIST,Inconnu,173,173,17,-5.0,8,-11.1510791366906,Benin,BN,9.5,2.25,https://allafrica.com/stories/202506050070.html,2025-06-05,2025,6,Jun 2025,23,Coercition,négatif
BENIN,BEN,THE OPPOSITION,Inconnu,173,173,17,-5.0,6,-9.0625,"Ouidah, Atlantique, Benin",BN,6.36307,2.08506,https://www.enca.com/opinion/watchdog-demands-i-coast-probe-journalists-handover-benin,2025-08-18,2025,8,Aug 2025,34,Coercition,négatif
BENIN,BEN,NIGERIA,NGA,154,154,15,-7.2,2,-7.80346820809248,Benin,BN,9.5,2.25,https://dailypost.ng/2025/12/09/aisha-yesufu-criticises-tinubu-over-unconstitutional-deployment-of-troops-to-benin-republic/,2025-12-09,2025,12,Dec 2025,50,Force non militaire,négatif
BENIN,BEN,JOURNALIST,Inconnu,175,175,17,-9.0,4,-7.32064421669107,Benin,BN,9.5,2.25,https://rsf.org/en/rsf-investigation-benins-arrest-journalist-hugues-sossoukp%C3%A8-c%C3%B4te-divoire-state-affair-disguised,2025-08-18,2025,8,Aug 2025,34,Coercition,négatif
BENIN,BEN,JOURNALIST,Inconnu,173,173,17,-5.0,10,-7.17948717948721,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2025/01/journaliste-interpellee-au-benin-ce-quon-en-sait/,2025-01-26,2025,1,Jan 2025,4,Coercition,négatif
BENIN,BEN,NEWSPAPER,Inconnu,180,180,18,-9.0,1,-6.56370656370657,Benin,BN,9.5,2.25,https://blueprint.ng/atiku-flays-benin-coup-says-its-assault-on-constitutional-order/,2025-12-09,2025,12,Dec 2025,50,Assaut,négatif
BENIN,BEN,Inconnu,Inconnu,186,186,18,-10.0,10,-6.10169491525424,Benin,BN,9.5,2.25,https://news.abidjan.net/articles/743959/cote-divoire-rsf-demande-une-enquete-sur-lextradition-dun-journaliste-beninois-refugie,2025-08-19,2025,8,Aug 2025,34,Assaut,négatif
BENIN,BEN,ACTIVIST,Inconnu,173,173,17,-5.0,6,-5.95514307811291,"Parakou, Borgou, Benin",BN,9.33716,2.63031,https://allafrica.com/stories/202503070014.html,2025-03-07,2025,3,Mar 2025,10,Coercition,négatif
BENIN,BEN,JOURNALIST,Inconnu,173,173,17,-5.0,4,-5.48302872062663,"Porga, Atakora, Benin",BN,11.048,0.968912,https://www.journalismpakistan.com/nigerian-travel-journalist-detained-in-benin-on-terrorism-charges-since-january,2025-11-13,2025,11,Nov 2025,46,Coercition,négatif
BENIN,BEN,MAIN OPPOSITION,Inconnu,172,172,17,-5.0,10,-4.73977695167286,Benin,BN,9.5,2.25,https://www.ghanamma.com/2025/12/07/benin-coup-thwarted-by-loyalist-troops-president-talon-tells-nation/,2025-12-08,2025,12,Dec 2025,50,Coercition,négatif
BENIN,BEN,MAIN OPPOSITION,Inconnu,172,172,17,-5.0,10,-4.60704607046071,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,https://www.bbc.com/news/articles/c62v7n9wzkyo?ref_timestamp=1765145412846,2025-12-07,2025,12,Dec 2025,49,Coercition,négatif
BENIN,BEN,Inconnu,Inconnu,186,186,18,-10.0,10,-4.10958904109589,Benin,BN,9.5,2.25,https://afriquinfos.com/rsf-relance-laffaire-comlan-sossoukpe-en-cote-divoire-pour-influer-sur-le-regime-talon/,2025-08-18,2025,8,Aug 2025,34,Assaut,négatif
BENIN,BEN,MAIN OPPOSITION,Inconnu,172,172,17,-5.0,10,-3.91254315304948,Benin,BN,9.5,2.25,https://www.capitalfm.co.ke/news/2025/12/benin-coup-plot-leader-hiding-in-togo-official-tells-bbc/,2025-12-11,2025,12,Dec 2025,50,Coercition,négatif
BENIN,BEN,MAIN OPPOSITION,Inconnu,172,172,17,-5.0,10,-3.9072039072039,Benin,BN,9.5,2.25,https://www.aol.com/articles/soldiers-benin-seized-power-president-091147961.html,2025-12-07,2025,12,Dec 2025,49,Coercition,négatif
