Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
COMPANY,Inconnu,Inconnu,Inconnu,10,10,1,0.0,10,-1.01694915254237,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/classement-rsf-2026-le-benin-recule-de-21-places-sur-la-liberte-de-la-presse/,2026-04-30,2026,4,Apr 2026,18,Déclaration publique,négatif
Inconnu,Inconnu,BENIN,BEN,1121,112,11,-2.0,8,-4.87804878048781,"Zinvie, Benin (general), Benin",BN,6.61738,2.35776,https://lanouvelletribune.info/2026/04/benin-la-police-arrete-le-pere-soupconne-davoir-tue-sa-fille-a-zinvie/,2026-04-30,2026,4,Apr 2026,18,Désapprobation,négatif
MINIST,Inconnu,AFRICA,AFR,10,10,1,0.0,4,-2.27272727272727,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/affaire-kemi-seba-le-niger-reagit-a-la-polemique-sur-le-passeport-diplomatique/,2026-04-19,2026,4,Apr 2026,16,Déclaration publique,négatif
COTONOU,BEN,Inconnu,Inconnu,112,112,11,-2.0,8,-2.27272727272727,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/affaire-kemi-seba-le-niger-reagit-a-la-polemique-sur-le-passeport-diplomatique/,2026-04-19,2026,4,Apr 2026,16,Désapprobation,négatif
AUTHORITIES,Inconnu,BENIN,BEN,112,112,11,-2.0,10,-4.74137931034483,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/extradition-de-kemi-seba-une-delegation-beninoise-en-afrique-du-sud-selon-rfi/,2026-04-17,2026,4,Apr 2026,16,Désapprobation,négatif
Inconnu,Inconnu,CITIZEN,Inconnu,60,60,6,6.0,10,0.33333333333334,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/benin-lacteur-politique-jock-adnmado-evoque-les-grandes-lecons-de-la-presidentielle/,2026-04-16,2026,4,Apr 2026,16,Coopération matérielle,neutre
OPPOSITION PARTY,Inconnu,BENIN,BEN,10,10,1,0.0,10,1.54320987654321,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/presidentielle-au-benin-les-democrates-formulent-leurs-attentes-envers-wadagni/,2026-04-15,2026,4,Apr 2026,16,Déclaration publique,positif
AFRICA,AFR,BENIN,BEN,173,173,17,-5.0,10,-4.35779816513761,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/afrique-du-sud-kemi-seba-arrete-selon-bip-radio/,2026-04-15,2026,4,Apr 2026,16,Coercition,négatif
ACTIVIST,Inconnu,Inconnu,Inconnu,173,173,17,-5.0,10,-4.35779816513761,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/afrique-du-sud-kemi-seba-arrete-selon-bip-radio/,2026-04-15,2026,4,Apr 2026,16,Coercition,négatif
ACTIVIST,Inconnu,Inconnu,Inconnu,10,10,1,0.0,10,-4.35779816513761,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/afrique-du-sud-kemi-seba-arrete-selon-bip-radio/,2026-04-15,2026,4,Apr 2026,16,Déclaration publique,négatif
COMPANY,Inconnu,Inconnu,Inconnu,20,20,2,3.0,10,-3.62903225806452,"Djougou, Donga, Benin",BN,9.70853,1.66598,https://lanouvelletribune.info/2026/04/benin-la-sbee-annonce-des-interruptions-temporaires-ce-16-avril-dans-plusieurs-localites/,2026-04-14,2026,4,Apr 2026,16,Appel / Demande,négatif
PROSECUTOR,Inconnu,ACTOR,Inconnu,173,173,17,-5.0,10,-3.45622119815668,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/benin-3-ans-de-prison-pour-une-escroquerie-de-15-million-fcfa-a-abomey-calavi/,2026-04-14,2026,4,Apr 2026,16,Coercition,négatif
Inconnu,Inconnu,SCHOOL,Inconnu,42,42,4,1.9,10,-0.40650406504065,"Glazoue, Benin (general), Benin",BN,7.97252,2.22176,https://lanouvelletribune.info/2026/04/presidentielle-au-benin-une-forte-mobilisation-des-electeurs-observee-dans-plusieurs-centres-de-vote/,2026-04-12,2026,4,Apr 2026,15,Consultation,neutre
SCHOOL,Inconnu,Inconnu,Inconnu,43,43,4,2.8,10,-0.40650406504065,"Glazoue, Benin (general), Benin",BN,7.97252,2.22176,https://lanouvelletribune.info/2026/04/presidentielle-au-benin-une-forte-mobilisation-des-electeurs-observee-dans-plusieurs-centres-de-vote/,2026-04-12,2026,4,Apr 2026,15,Consultation,neutre
ACTOR,Inconnu,Inconnu,Inconnu,193,193,19,-10.0,10,-1.44404332129964,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/benin-patrice-talon-salue-un-climat-electoral-fraternel-et-appelle-a-une-forte-participation/,2026-04-12,2026,4,Apr 2026,15,Violence de masse,négatif
COTONOU,BEN,CITIZEN,Inconnu,10,10,1,0.0,10,0.39840637450199,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/presidentielle-au-benin-7-897-287-electeurs-attendus-ce-dimanche-selon-sacca-lafia/,2026-04-11,2026,4,Apr 2026,15,Déclaration publique,neutre
COMPANY,Inconnu,Inconnu,Inconnu,36,36,3,4.0,10,-1.80360721442886,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2016/05/agossa-griot-suspendu/,2026-04-10,2026,4,Apr 2026,15,Coopération,négatif
