Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
INSURGENT FORCE,Inconnu,Inconnu,Inconnu,60,60,6,6.0,20,-5.75921080054651,Benin,BN,9.5,2.25,https://www.vetogate.com/5549360,2025-12-07,2025,12,Dec 2025,49,Coopération matérielle,négatif
BENIN,BEN,Inconnu,Inconnu,173,173,17,-5.0,20,-0.72992700729927,Benin,BN,9.5,2.25,http://french.people.com.cn/Afrique/n3/2026/0331/c96852-20441661.html,2026-03-31,2026,3,Mar 2026,14,Coercition,neutre
BENIN,BEN,Inconnu,Inconnu,173,173,17,-5.0,20,-4.47710795833948,Benin,BN,9.5,2.25,https://www.zawya.com/en/press-release/africa-press-releases/benin-election-candidates-must-commit-to-protecting-human-rights-amid-shrinking-civic-space-opvfbke1,2026-01-08,2026,1,Jan 2026,2,Coercition,négatif
BENIN,BEN,MILITARY BASE,Inconnu,112,112,11,-2.0,20,-3.68763557483731,Benin,BN,9.5,2.25,https://malijet.com/actualite-sur-afrique/300357-benin-le-president-talon-assure-qu-il-ne-sera-pas-candidat-a-la-.html,2025-03-14,2025,3,Mar 2025,11,Désapprobation,négatif
REBELLION,Inconnu,Inconnu,Inconnu,43,43,4,2.8,20,-5.75921080054651,Benin,BN,9.5,2.25,https://www.vetogate.com/5549360,2025-12-07,2025,12,Dec 2025,49,Consultation,négatif
AUTHORITIES,Inconnu,AMNESTY INTERNATIONAL,Inconnu,10,10,1,0.0,20,-4.47710795833948,Benin,BN,9.5,2.25,https://www.zawya.com/en/press-release/africa-press-releases/benin-election-candidates-must-commit-to-protecting-human-rights-amid-shrinking-civic-space-opvfbke1,2026-01-08,2026,1,Jan 2026,2,Déclaration publique,négatif
POPULATION,Inconnu,Inconnu,Inconnu,10,10,1,0.0,20,-2.76752767527675,Benin,BN,9.5,2.25,https://www.razon.com.mx:443/mundo/2025/12/07/frustran-en-benin-intento-de-golpe-de-estado-encabezado-por-grupo-de-militares/,2025-12-07,2025,12,Dec 2025,49,Déclaration publique,négatif
MALI,MLI,Inconnu,Inconnu,71,71,7,7.4,20,2.26244343891402,Benin,BN,9.5,2.25,http://malijet.com/actualite_economique_du_mali/308623-le-mali-reussit-une-levee-de-fonds-au-dela-de-son-objectif.html,2026-03-20,2026,3,Mar 2026,12,Aide / Assistance,positif
ATTORNEY GENERAL,Inconnu,Inconnu,Inconnu,43,43,4,2.8,20,-6.55270655270656,Benin,BN,9.5,2.25,http://seneweb.com/fr/news/Afrique/benin-arretee-pour-des-propos-desobligeants-envers-le-couple-talon-une-jeune-tiktokeuse-provoque-les-magistrats-lors-de-son-proces_n_482490.html,2026-02-05,2026,2,Feb 2026,6,Consultation,négatif
BANK,Inconnu,EUROPEAN,EUR,30,30,3,4.0,20,4.93150684931507,Benin,BN,9.5,2.25,http://malijet.com/communiques-de-presse/299569-la-banque-d-investissement-et-de-developpement-de-la-cedeao-obti.html,2025-02-19,2025,2,Feb 2025,8,Coopération,positif
BANK,Inconnu,EUROPEAN,EUR,57,57,5,8.0,20,4.93150684931507,Benin,BN,9.5,2.25,http://malijet.com/communiques-de-presse/299569-la-banque-d-investissement-et-de-developpement-de-la-cedeao-obti.html,2025-02-19,2025,2,Feb 2025,8,Engagement diplomatique,positif
