Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment,date_parsed,topic,ner_text
BENINESE,BEN,Inconnu,Inconnu,114,114,11,-2.0,3,-2.71084337349397,"Bopa, Benin (general), Benin",BN,6.5874,1.96539,https://www.the-messenger.com/news/national/article_ab442ca2-3ae4-5921-9fee-bdbb7b50b14f.html,2026-04-12,2026,4,Apr 2026,15,Désapprobation,négatif,2026-04-12,,"BENINESE Inconnu Bopa, Benin (general), Benin"
BENINESE,BEN,Inconnu,Inconnu,114,114,11,-2.0,5,-2.25225225225226,"Zongo, Atakora, Benin",BN,10.1841,1.09662,https://www.insidenova.com/news/national/finance-minister-favourite-as-benin-votes-for-president/article_21dc37b4-bd7c-5e35-95b7-26f19d5caa33.html,2026-04-12,2026,4,Apr 2026,15,Désapprobation,négatif,2026-04-12,,"BENINESE Inconnu Zongo, Atakora, Benin"
BENIN,BEN,Inconnu,Inconnu,62,62,6,7.4,10,-3.0050083472454,Benin,BN,9.5,2.25,https://saharamedias.net/255279/,2026-04-12,2026,4,Apr 2026,15,Coopération matérielle,négatif,2026-04-12,,BENIN Inconnu Benin
BENIN,BEN,Inconnu,Inconnu,114,114,11,-2.0,10,-2.16508795669824,Benin,BN,9.5,2.25,https://www.la-croix.com/le-benin-elit-son-president-voie-royale-pour-le-ministre-romuald-wadagni-20260411,2026-04-12,2026,4,Apr 2026,15,Désapprobation,négatif,2026-04-12,,BENIN Inconnu Benin
COTONOU,BEN,INSURGENCY,Inconnu,831,83,8,5.0,5,-6.50994575045208,Benin,BN,9.5,2.25,https://www.whec.com/ap-top-news/benin-holds-presidential-election-with-finance-minister-favored-to-succeed-talon/,2026-04-12,2026,4,Apr 2026,15,Accord / Coopération,négatif,2026-04-12,,COTONOU INSURGENCY Benin
BENINESE,BEN,ECOWAS,WAF,39,39,3,5.0,1,-1.14942528735632,Benin,BN,9.5,2.25,https://www.africanews.com/2026/04/12/benin-talon-shows-himself-optimistic-about-election-as-he-casts-his-vote/,2026-04-12,2026,4,Apr 2026,15,Coopération,négatif,2026-04-12,,BENINESE ECOWAS Benin
BENIN,BEN,COMMUNITY,Inconnu,181,181,18,-9.0,4,-2.71186440677966,Benin,BN,9.5,2.25,https://dailypost.ng/2026/04/06/police-rescue-two-kidnapped-victims-in-edo/,2026-04-06,2026,4,Apr 2026,15,Assaut,négatif,2026-04-06,,BENIN COMMUNITY Benin
BENIN,BEN,Inconnu,Inconnu,1821,182,18,-9.0,4,-4.52127659574468,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-linf-reagit-apres-la-condamnation-de-marcel-houinato-pour-viol-sur-mineure/,2026-03-30,2026,3,Mar 2026,14,Assaut,négatif,2026-03-30,,BENIN Inconnu Benin
BENIN,BEN,Inconnu,Inconnu,241,24,2,-0.3,5,-0.33112582781457,Benin,BN,9.5,2.25,https://nigerianobservernews.com/2026/04/edo-lg-elections-we-cant-disqualify-candidates-power-lies-with-political-parties-edsiec/,2026-04-02,2026,4,Apr 2026,14,Appel / Demande,neutre,2026-04-02,,BENIN Inconnu Benin
BENIN,BEN,LAGOS,NGA,191,191,19,-9.5,10,-7.6923076923077,Benin,BN,9.5,2.25,https://dailytrust.com/motorists-stranded-as-youths-protest-hardship-in-edo/,2026-04-02,2026,4,Apr 2026,14,Violence de masse,négatif,2026-04-02,,BENIN LAGOS Benin
BENIN,BEN,UNITED KINGDOM,GBR,81,81,8,5.0,6,-5.56792873051225,Benin,BN,9.5,2.25,https://allafrica.com/stories/202604270312.html,2026-04-27,2026,4,Apr 2026,18,Accord / Coopération,négatif,2026-04-27,,BENIN UNITED KINGDOM Benin
COTONOU,BEN,ECOWAS,WAF,74,74,7,8.5,10,3.38345864661654,Benin,BN,9.5,2.25,https://www.ghanamma.com/2026/04/10/nana-arrives-in-benin-for-election-observation/,2026-04-10,2026,4,Apr 2026,15,Aide / Assistance,positif,2026-04-10,,COTONOU ECOWAS Benin
BENIN,BEN,Inconnu,Inconnu,114,114,11,-2.0,10,-1.4218009478673,"Godomey, Atlantique, Benin",BN,6.38948,2.34581,https://www.jeuneafrique.com/1787737/politique/presidentielle-au-benin-le-depouillement-a-commence-les-resultats-provisoires-sont-attendus-en-debut-de-semaine/,2026-04-13,2026,4,Apr 2026,16,Désapprobation,négatif,2026-04-13,,"BENIN Inconnu Godomey, Atlantique, Benin"
BENIN,BEN,Inconnu,Inconnu,181,181,18,-9.0,2,-7.465825446898,Benin,BN,9.5,2.25,https://www.premiumtimesng.com/entertainment/nollywood/865793-oba-of-benin-palace-incident-don-pedro-obaseki-demands-n500m-damages.html,2026-03-21,2026,3,Mar 2026,12,Assaut,négatif,2026-03-21,,BENIN Inconnu Benin
BENIN,BEN,Inconnu,Inconnu,25,25,2,-0.3,2,-5.32859680284191,"Igini, Benin (general), Benin",BN,8.93555,2.57951,https://www.premiumtimesng.com/news/top-news/875316-edo-govt-disowns-okpebholos-aide-over-threats-against-opposition.html,2026-04-27,2026,4,Apr 2026,18,Appel / Demande,négatif,2026-04-27,,"BENIN Inconnu Igini, Benin (general), Benin"
BENIN,BEN,PRESIDENT,Inconnu,831,83,8,5.0,10,-1.58730158730159,Benin,BN,9.5,2.25,https://www.bloomberg.com:443/news/articles/2026-01-18/benin-ruling-coalition-sweeps-parliament-ahead-of-april-vote,2026-01-18,2026,1,Jan 2026,3,Accord / Coopération,négatif,2026-01-18,,BENIN PRESIDENT Benin
BENIN,BEN,NIGER,NER,150,150,15,-7.2,4,1.98347107438017,Benin,BN,9.5,2.25,https://www.asabametro.com/security-asagba-joins-umahi-to-commission-cctv-monitoring-centre-on-second-niger-bridge/,2026-01-18,2026,1,Jan 2026,3,Force non militaire,positif,2026-01-18,,BENIN NIGER Benin
BENIN,BEN,ROBBER,Inconnu,171,171,17,-9.2,2,-1.70697012802276,Benin,BN,9.5,2.25,https://thenewsnigeria.com.ng/2026/01/12/police-rescue-9-kidnapped-victims-celebrate-first-ever-drone-led-rescue-operation-in-edo/,2026-01-12,2026,1,Jan 2026,3,Coercition,négatif,2026-01-12,3,BENIN ROBBER Benin
BENIN,BEN,REBELLION,Inconnu,137,137,13,-7.0,6,-7.05128205128206,Benin,BN,9.5,2.25,https://www.winnipegfreepress.com/world/2026/04/16/activist-kemi-seba-arrested-in-south-africa-faces-extradition-to-benin,2026-04-16,2026,4,Apr 2026,16,Menace,négatif,2026-04-16,,BENIN REBELLION Benin
BENIN,BEN,Inconnu,Inconnu,15,15,1,0.0,4,-4.31654676258993,Benin,BN,9.5,2.25,https://www.nationalaccordnewspaper.com/first-bank-customer-ojo-eghosa-kingsley-has-been-convicted-by-an-edo-state-high-court-after-unlawfully-spending-%E2%82%A61-5-billion-mistakenly-credited-to-his-account-by-the-bank/,2026-01-25,2026,1,Jan 2026,4,Déclaration publique,négatif,2026-01-25,,BENIN Inconnu Benin
BENIN,BEN,Inconnu,Inconnu,22,22,2,3.2,4,4.18760469011725,"Ketu, Benin (general), Benin",BN,7.36332,2.59978,https://theheraldghana.com/abla-dzifa-gomashie-calls-for-support-for-sokpoe-tortzogbeza/,2026-04-15,2026,4,Apr 2026,16,Appel / Demande,positif,2026-04-15,,"BENIN Inconnu Ketu, Benin (general), Benin"
BENIN,BEN,GOVERNMENT,Inconnu,72,72,7,8.3,4,-2.46679316888046,Benin,BN,9.5,2.25,https://punchng.com/six-face-trial-in-edo-over-alleged-vandalism/,2026-04-16,2026,4,Apr 2026,16,Aide / Assistance,négatif,2026-04-16,,BENIN GOVERNMENT Benin
BENIN,BEN,GOVERNMENT,Inconnu,1712,171,17,-9.2,2,-2.46679316888046,Benin,BN,9.5,2.25,https://punchng.com/six-face-trial-in-edo-over-alleged-vandalism/,2026-04-16,2026,4,Apr 2026,16,Coercition,négatif,2026-04-16,,BENIN GOVERNMENT Benin
BENIN,BEN,Inconnu,Inconnu,114,114,11,-2.0,10,-0.6269592476489,Benin,BN,9.5,2.25,https://www.leparisien.fr/international/au-benin-le-ministre-des-finances-elu-president-avec-94-des-voix-dans-des-soupcons-de-bourrage-durnes-14-04-2026-M6J3V3SVKFEZ5PEDNCSSYCXWUY.php,2026-04-14,2026,4,Apr 2026,16,Désapprobation,neutre,2026-04-14,12,BENIN Inconnu Benin
