date,annee,mois,semaine,Actor1Name,Actor2Name,EventCode,EventRootCode,GoldsteinScale,AvgTone,NumArticles,event_label,sentiment,topic,topic_label,ActionGeo_FullName,SOURCEURL
2026-04-12,2026,4,15,BENINESE,Inconnu,114,11,-2.0,-2.71084337349397,3,Désapprobation,négatif,-1,Outlier / Non classe,"Bopa, Benin (general), Benin",https://www.the-messenger.com/news/national/article_ab442ca2-3ae4-5921-9fee-bdbb7b50b14f.html
2026-04-12,2026,4,15,BENINESE,Inconnu,114,11,-2.0,-2.25225225225226,5,Désapprobation,négatif,-1,Outlier / Non classe,"Zongo, Atakora, Benin",https://www.insidenova.com/news/national/finance-minister-favourite-as-benin-votes-for-president/article_21dc37b4-bd7c-5e35-95b7-26f19d5caa33.html
2026-04-12,2026,4,15,BENIN,Inconnu,62,6,7.4,-3.0050083472454,10,Coopération matérielle,négatif,5,Cooperation / Accords,Benin,https://saharamedias.net/255279/
2026-04-12,2026,4,15,BENIN,Inconnu,114,11,-2.0,-2.16508795669824,10,Désapprobation,négatif,-1,Outlier / Non classe,Benin,https://www.la-croix.com/le-benin-elit-son-president-voie-royale-pour-le-ministre-romuald-wadagni-20260411
2026-04-12,2026,4,15,COTONOU,INSURGENCY,831,8,5.0,-6.50994575045208,5,Accord / Coopération,négatif,5,Cooperation / Accords,Benin,https://www.whec.com/ap-top-news/benin-holds-presidential-election-with-finance-minister-favored-to-succeed-talon/
2026-04-12,2026,4,15,BENINESE,ECOWAS,39,3,5.0,-1.14942528735632,1,Coopération,négatif,5,Cooperation / Accords,Benin,https://www.africanews.com/2026/04/12/benin-talon-shows-himself-optimistic-about-election-as-he-casts-his-vote/
2026-04-06,2026,4,15,BENIN,COMMUNITY,181,18,-9.0,-2.71186440677966,4,Assaut,négatif,2,Tensions / Coercition / Violence,Benin,https://dailypost.ng/2026/04/06/police-rescue-two-kidnapped-victims-in-edo/
2026-03-30,2026,3,14,BENIN,Inconnu,1821,18,-9.0,-4.52127659574468,4,Assaut,négatif,2,Tensions / Coercition / Violence,Benin,https://lanouvelletribune.info/2026/03/benin-linf-reagit-apres-la-condamnation-de-marcel-houinato-pour-viol-sur-mineure/
2026-04-02,2026,4,14,BENIN,Inconnu,241,2,-0.3,-0.33112582781457,5,Appel / Demande,neutre,4,Appels / Aide humanitaire,Benin,https://nigerianobservernews.com/2026/04/edo-lg-elections-we-cant-disqualify-candidates-power-lies-with-political-parties-edsiec/
2026-04-02,2026,4,14,BENIN,LAGOS,191,19,-9.5,-7.6923076923077,10,Violence de masse,négatif,2,Tensions / Coercition / Violence,Benin,https://dailytrust.com/motorists-stranded-as-youths-protest-hardship-in-edo/
2026-04-27,2026,4,18,BENIN,UNITED KINGDOM,81,8,5.0,-5.56792873051225,6,Accord / Coopération,négatif,5,Cooperation / Accords,Benin,https://allafrica.com/stories/202604270312.html
2026-04-10,2026,4,15,COTONOU,ECOWAS,74,7,8.5,3.38345864661654,10,Aide / Assistance,positif,4,Appels / Aide humanitaire,Benin,https://www.ghanamma.com/2026/04/10/nana-arrives-in-benin-for-election-observation/
2026-04-13,2026,4,16,BENIN,Inconnu,114,11,-2.0,-1.4218009478673,10,Désapprobation,négatif,-1,Outlier / Non classe,"Godomey, Atlantique, Benin",https://www.jeuneafrique.com/1787737/politique/presidentielle-au-benin-le-depouillement-a-commence-les-resultats-provisoires-sont-attendus-en-debut-de-semaine/
2026-03-21,2026,3,12,BENIN,Inconnu,181,18,-9.0,-7.465825446898,2,Assaut,négatif,2,Tensions / Coercition / Violence,Benin,https://www.premiumtimesng.com/entertainment/nollywood/865793-oba-of-benin-palace-incident-don-pedro-obaseki-demands-n500m-damages.html
2026-04-27,2026,4,18,BENIN,Inconnu,25,2,-0.3,-5.32859680284191,2,Appel / Demande,négatif,4,Appels / Aide humanitaire,"Igini, Benin (general), Benin",https://www.premiumtimesng.com/news/top-news/875316-edo-govt-disowns-okpebholos-aide-over-threats-against-opposition.html
2026-01-18,2026,1,3,BENIN,PRESIDENT,831,8,5.0,-1.58730158730159,10,Accord / Coopération,négatif,5,Cooperation / Accords,Benin,https://www.bloomberg.com:443/news/articles/2026-01-18/benin-ruling-coalition-sweeps-parliament-ahead-of-april-vote
