SQLDATE,Actor1Name,Actor2Name,EventCode,EventBaseCode,EventRootCode,AvgTone,NumArticles,ActionGeo_FullName,text_input
2026-04-12,BENINESE,,114,114,11,-2.71084337349397,3,"Bopa, Benin (general), Benin","BENINESE 114 114 11 Bopa, Benin (general), Benin"
2026-04-12,BENINESE,,114,114,11,-2.25225225225226,5,"Zongo, Atakora, Benin","BENINESE 114 114 11 Zongo, Atakora, Benin"
2026-04-12,BENIN,,62,62,6,-3.0050083472454,10,Benin,BENIN 62 62 6 Benin
2026-04-12,BENIN,,114,114,11,-2.16508795669824,10,Benin,BENIN 114 114 11 Benin
2026-04-12,COTONOU,INSURGENCY,831,83,8,-6.50994575045208,5,Benin,COTONOU 831 83 8 INSURGENCY Benin
2026-04-12,BENINESE,ECOWAS,39,39,3,-1.14942528735632,1,Benin,BENINESE 39 39 3 ECOWAS Benin
2026-04-06,BENIN,COMMUNITY,181,181,18,-2.71186440677966,4,Benin,BENIN 181 181 18 COMMUNITY Benin
2026-03-30,BENIN,,1821,182,18,-4.52127659574468,4,Benin,BENIN 1821 182 18 Benin
2026-04-02,BENIN,,241,24,2,-0.33112582781457,5,Benin,BENIN 241 24 2 Benin
2026-04-02,BENIN,LAGOS,191,191,19,-7.6923076923077,10,Benin,BENIN 191 191 19 LAGOS Benin
2026-04-27,BENIN,UNITED KINGDOM,81,81,8,-5.56792873051225,6,Benin,BENIN 81 81 8 UNITED KINGDOM Benin
2026-04-10,COTONOU,ECOWAS,74,74,7,3.38345864661654,10,Benin,COTONOU 74 74 7 ECOWAS Benin
2026-04-13,BENIN,,114,114,11,-1.4218009478673,10,"Godomey, Atlantique, Benin","BENIN 114 114 11 Godomey, Atlantique, Benin"
2026-03-21,BENIN,,181,181,18,-7.465825446898,2,Benin,BENIN 181 181 18 Benin
2026-04-27,BENIN,,25,25,2,-5.32859680284191,2,"Igini, Benin (general), Benin","BENIN 25 25 2 Igini, Benin (general), Benin"
2026-01-18,BENIN,PRESIDENT,831,83,8,-1.58730158730159,10,Benin,BENIN 831 83 8 PRESIDENT Benin
2026-01-18,BENIN,NIGER,150,150,15,1.98347107438017,4,Benin,BENIN 150 150 15 NIGER Benin
2026-01-12,BENIN,ROBBER,171,171,17,-1.70697012802276,2,Benin,BENIN 171 171 17 ROBBER Benin
2026-04-16,BENIN,REBELLION,137,137,13,-7.05128205128206,6,Benin,BENIN 137 137 13 REBELLION Benin
2026-01-25,BENIN,,15,15,1,-4.31654676258993,4,Benin,BENIN 15 15 1 Benin
