Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
BENIN,BEN,NIGERIA,NGA,51,51,5,3.4,20,-1.96629213483146,Benin,BN,9.5,2.25,http://malijet.com/actualite-sur-afrique/307248-benin-putsch-manque-du-07-decembre--patrice-talon-accuse-des--au.html,2025-12-23,2025,12,Dec 2025,52,Engagement diplomatique,négatif
BENIN,BEN,MILITARY BASE,Inconnu,43,43,4,2.8,20,-3.68763557483731,Benin,BN,9.5,2.25,https://malijet.com/actualite-sur-afrique/300357-benin-le-president-talon-assure-qu-il-ne-sera-pas-candidat-a-la-.html,2025-03-14,2025,3,Mar 2025,11,Consultation,négatif
BENIN,BEN,Inconnu,Inconnu,51,51,5,3.4,20,-3.68763557483731,Benin,BN,9.5,2.25,https://malijet.com/actualite-sur-afrique/300357-benin-le-president-talon-assure-qu-il-ne-sera-pas-candidat-a-la-.html,2025-03-14,2025,3,Mar 2025,11,Engagement diplomatique,négatif
BENIN,BEN,Inconnu,Inconnu,36,36,3,4.0,20,-1.96629213483146,Benin,BN,9.5,2.25,http://malijet.com/actualite-sur-afrique/307248-benin-putsch-manque-du-07-decembre--patrice-talon-accuse-des--au.html,2025-12-23,2025,12,Dec 2025,52,Coopération,négatif
BENIN,BEN,MILITARY BASE,Inconnu,112,112,11,-2.0,20,-3.68763557483731,Benin,BN,9.5,2.25,https://malijet.com/actualite-sur-afrique/300357-benin-le-president-talon-assure-qu-il-ne-sera-pas-candidat-a-la-.html,2025-03-14,2025,3,Mar 2025,11,Désapprobation,négatif
ALASSANE SEIDOU,BEN,ARMED FORCES,Inconnu,112,112,11,-2.0,20,-0.418410041841,Benin,BN,9.5,2.25,https://english.news.cn/20251208/357e14a0500f428a971b9b4ce8736297/c.html,2025-12-08,2025,12,Dec 2025,50,Désapprobation,neutre
BENIN,BEN,REBELLION,Inconnu,100,100,10,-5.0,16,-6.54556650246306,Benin,BN,9.5,2.25,https://abcnews.com/International/wireStory/activist-kemi-seba-arrested-south-africa-faces-extradition-132110584,2026-04-17,2026,4,Apr 2026,16,Demande / Aide,négatif
BENIN,BEN,Inconnu,Inconnu,42,42,4,1.9,10,-6.9423929098966,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2025/01/proces-de-boko-et-homeky-le-benin-retient-son-souffle/?doing_wp_cron=1737442021.1277019977569580078125,2025-01-21,2025,1,Jan 2025,4,Consultation,négatif
BENIN,BEN,Inconnu,Inconnu,42,42,4,1.9,10,2.38095238095238,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2025/04/benin-sur-certains-chantiers-a-porto-novo-nicephore-soglo-salue-la-modernisation-du-pays/,2025-04-09,2025,4,Apr 2025,15,Consultation,positif
BENIN,BEN,Inconnu,Inconnu,42,42,4,1.9,10,1.43540669856459,Benin,BN,9.5,2.25,http://www.seneweb.com/fr/news/Afrique/benin-talon-nomme-lex-premier-ministre-lionel-zinsou_n_469705.html,2025-10-02,2025,10,Oct 2025,40,Consultation,positif
