Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
GOVERNMENT,Inconnu,INSURGENT,Inconnu,190,190,19,-10.0,10,-6.06837606837607,"Peul, Alibori, Benin",BN,12.0804,3.17956,https://www.larazon.es/internacional/yihad-yihad-cuando-religion-importa-menos-que-poder-africa_2026041169d9e370b7e0a27eb9939a6d.html,2026-04-11,2026,4,Apr 2026,15,Violence de masse,négatif
POLICE FORCE,Inconnu,Inconnu,Inconnu,190,190,19,-10.0,1,-2.92249047013978,"Parakou, Borgou, Benin",BN,9.33716,2.63031,https://www.cnbcafrica.com/2026/benin-finance-minister-wadagni-seeks-his-own-mandate-in-election,2026-04-08,2026,4,Apr 2026,15,Violence de masse,négatif
ARMY,Inconnu,BENIN,BEN,130,130,13,-4.4,10,-2.92249047013978,"Parakou, Borgou, Benin",BN,9.33716,2.63031,https://www.cnbcafrica.com/2026/benin-finance-minister-wadagni-seeks-his-own-mandate-in-election,2026-04-08,2026,4,Apr 2026,15,Menace,négatif
BENIN,BEN,RADIO STATION,Inconnu,190,190,19,-10.0,2,-0.94637223974763,"Banikoara, Alibori, Benin",BN,11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140,2026-03-27,2026,3,Mar 2026,13,Violence de masse,neutre
RADIO STATION,Inconnu,Inconnu,Inconnu,190,190,19,-10.0,1,-0.94637223974763,"Banikoara, Alibori, Benin",BN,11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140,2026-03-27,2026,3,Mar 2026,13,Violence de masse,neutre
MILITARY BASE,Inconnu,Inconnu,Inconnu,190,190,19,-10.0,5,-0.94637223974763,"Banikoara, Alibori, Benin",BN,11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140,2026-03-27,2026,3,Mar 2026,13,Violence de masse,neutre
MILITANT,Inconnu,BENIN,BEN,190,190,19,-10.0,5,-6.82170542635659,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://www.eurasiareview.com/27032026-jnim-presses-into-coastal-states/,2026-03-27,2026,3,Mar 2026,13,Violence de masse,négatif
SECURITY FORCE,Inconnu,Inconnu,Inconnu,193,193,19,-10.0,10,-2.6378896882494,"Djougou, Donga, Benin",BN,9.70853,1.66598,https://lanouvelletribune.info/2026/03/benin-retour-sur-laffrontement-meurtrier-entre-forces-de-lordre-et-population-a-manigri/,2026-03-18,2026,3,Mar 2026,12,Violence de masse,négatif
ARMED GROUP,Inconnu,Inconnu,Inconnu,190,190,19,-10.0,10,-2.97951582867784,"Segbana, Alibori, Benin",BN,10.9282,3.69429,https://lanouvelletribune.info/2026/03/benin-plus-de-3-000-deplaces-nigerians-accueillis-a-segbana/,2026-03-16,2026,3,Mar 2026,12,Violence de masse,négatif
ISLAM,Inconnu,BENIN,BEN,190,190,19,-10.0,2,-2.92249047013978,"Parakou, Borgou, Benin",BN,9.33716,2.63031,https://www.cnbcafrica.com/2026/benin-finance-minister-wadagni-seeks-his-own-mandate-in-election,2026-03-09,2026,3,Mar 2026,11,Violence de masse,négatif
AL QAEDA,Inconnu,BENIN,BEN,190,190,19,-10.0,3,-2.92249047013978,"Parakou, Borgou, Benin",BN,9.33716,2.63031,https://www.cnbcafrica.com/2026/benin-finance-minister-wadagni-seeks-his-own-mandate-in-election,2026-03-09,2026,3,Mar 2026,11,Violence de masse,négatif
BENIN,BEN,ARMED GROUP,Inconnu,190,190,19,-10.0,10,0.0,"Karimama, Alibori, Benin",BN,12.0691,3.18405,https://lanouvelletribune.info/2026/03/benin-joseph-djogbenou-rend-hommage-aux-soldats-morts-a-kofouno/,2026-03-09,2026,3,Mar 2026,11,Violence de masse,neutre
MILITANT,Inconnu,BENIN,BEN,190,190,19,-10.0,5,-10.5072463768116,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://www.myjoyonline.com/militants-kill-15-soldiers-in-northern-benin-attack-army-says/,2026-03-09,2026,3,Mar 2026,11,Violence de masse,négatif
BENIN,BEN,Inconnu,Inconnu,190,190,19,-10.0,5,-10.5072463768116,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://www.myjoyonline.com/militants-kill-15-soldiers-in-northern-benin-attack-army-says/,2026-03-09,2026,3,Mar 2026,11,Violence de masse,négatif
BENIN,BEN,Inconnu,Inconnu,190,190,19,-10.0,2,-11.1969111969112,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://www.timesofearth.com/2026/03/07/militants-kill-15-soldiers-in-northern-benin-attack/,2026-03-07,2026,3,Mar 2026,10,Violence de masse,négatif
BENIN,BEN,Inconnu,Inconnu,195,195,19,-10.0,10,-5.14469453376206,"Karimama, Alibori, Benin",BN,12.0691,3.18405,https://lanouvelletribune.info/2026/03/benin-lunion-africaine-condamne-lattaque-terroriste-du-poste-militaire-de-kofouno/,2026-03-07,2026,3,Mar 2026,10,Violence de masse,négatif
GUNMEN,Inconnu,MILITARY,Inconnu,190,190,19,-10.0,10,-5.14469453376206,"Karimama, Alibori, Benin",BN,12.0691,3.18405,https://lanouvelletribune.info/2026/03/benin-lunion-africaine-condamne-lattaque-terroriste-du-poste-militaire-de-kofouno/,2026-03-07,2026,3,Mar 2026,10,Violence de masse,négatif
BENIN,BEN,ARMY,Inconnu,190,190,19,-10.0,10,-6.21468926553672,"Karimama, Alibori, Benin",BN,12.0691,3.18405,https://www.actuniger.com/international/21822-benin-15-soldats-tues-et-4-assaillants-neutralises-dans-une-attaque-terroriste-a-kofonou-dans-le-nord-est-du-pays.html,2026-03-06,2026,3,Mar 2026,10,Violence de masse,négatif
AFRICAN UNION,AFR,MILITARY,Inconnu,190,190,19,-10.0,10,-3.58974358974359,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://au.int/en/pressreleases/20260306/terrorist-attacks-benin,2026-03-06,2026,3,Mar 2026,10,Violence de masse,négatif
BENIN,BEN,Inconnu,Inconnu,190,190,19,-10.0,10,-8.40336134453782,"Karimama, Alibori, Benin",BN,12.0691,3.18405,https://www.ouestaf.com/benin-15-soldats-tues-dans-une-attaque-a-kofonou-nord-est/,2026-03-06,2026,3,Mar 2026,10,Violence de masse,négatif
BENIN,BEN,BENIN,BEN,190,190,19,-10.0,2,-11.1731843575419,"Kofouno, Alibori, Benin",BN,12.009,3.08445,https://www.aa.com.tr/en/africa/armed-men-kill-15-soldiers-in-northern-benin/3852263,2026-03-06,2026,3,Mar 2026,10,Violence de masse,négatif
