mois,ton_moyen,nb_evenements,date,mois_label
2025-01,-1.11,705,2025-01-01,Jan 2025
2025-02,-1.38,293,2025-02-01,Feb 2025
2025-03,-1.16,322,2025-03-01,Mar 2025
2025-04,-0.12,171,2025-04-01,Apr 2025
2025-05,-0.57,219,2025-05-01,May 2025
2025-06,-0.42,75,2025-06-01,Jun 2025
2025-07,-0.58,25,2025-07-01,Jul 2025
2025-10,-0.66,57,2025-10-01,Oct 2025
2025-11,-0.88,73,2025-11-01,Nov 2025
2025-12,-2.77,173,2025-12-01,Dec 2025
2026-01,-1.59,817,2026-01-01,Jan 2026
2026-02,-2.06,791,2026-02-01,Feb 2026
2026-03,-1.37,720,2026-03-01,Mar 2026
2026-04,-1.76,640,2026-04-01,Apr 2026
2026-05,-2.54,8,2026-05-01,May 2026
