Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
POPULATION,Inconnu,Inconnu,Inconnu,10,10,1,0.0,20,-2.76752767527675,Benin,BN,9.5,2.25,https://www.razon.com.mx:443/mundo/2025/12/07/frustran-en-benin-intento-de-golpe-de-estado-encabezado-por-grupo-de-militares/,2025-12-07,2025,12,Dec 2025,49,Déclaration publique,négatif
REBELLION,Inconnu,Inconnu,Inconnu,43,43,4,2.8,20,-5.75921080054651,Benin,BN,9.5,2.25,https://www.vetogate.com/5549360,2025-12-07,2025,12,Dec 2025,49,Consultation,négatif
ACTOR,Inconnu,Inconnu,Inconnu,20,20,2,3.0,20,-3.19705727798214,Benin,BN,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html,2025-12-31,2025,12,Dec 2025,1,Appel / Demande,négatif
BENIN,BEN,UEMOA,WAF,71,71,7,7.4,20,-3.19705727798214,Benin,BN,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html,2025-12-31,2025,12,Dec 2025,1,Aide / Assistance,négatif
INSURGENT FORCE,Inconnu,Inconnu,Inconnu,60,60,6,6.0,20,-5.75921080054651,Benin,BN,9.5,2.25,https://www.vetogate.com/5549360,2025-12-07,2025,12,Dec 2025,49,Coopération matérielle,négatif
MILITARY,Inconnu,Inconnu,Inconnu,40,40,4,1.0,10,0.41666666666666,Benin,BN,9.5,2.25,https://newpost.gr/eidiseis/apopeira-praxikopimatos-sto-mpenin-i-katastasi-einai-ypo-elegcho-asfalis-o-proedros-talon/,2025-12-07,2025,12,Dec 2025,49,Consultation,neutre
ECOWAS,WAF,Inconnu,Inconnu,40,40,4,1.0,10,-1.5625,Benin,BN,9.5,2.25,https://www.ghanamma.com/2025/12/07/ecowas-deploys-standby-force-to-benin/,2025-12-07,2025,12,Dec 2025,49,Consultation,négatif
MILITARY,Inconnu,Inconnu,Inconnu,120,120,12,-4.0,10,-5.67567567567568,Benin,BN,9.5,2.25,https://www.thecable.ng/au-faults-coup-attempt-in-benin-republic-says-rising-military-takeovers-threaten-africas-stability/,2025-12-07,2025,12,Dec 2025,49,Rejet / Refus,négatif
RESIDENTS,Inconnu,Inconnu,Inconnu,40,40,4,1.0,10,-1.71306209850107,Benin,BN,9.5,2.25,https://naija247news.com/oba-of-benin-suspends-village-priest-over-alleged-violation-of-customs/,2025-12-07,2025,12,Dec 2025,49,Consultation,négatif
MALE,MDV,Inconnu,Inconnu,120,120,12,-4.0,10,-2.13089802130898,Benin,BN,9.5,2.25,https://www.ilsussidiario.net/news/benin-choc-presidente-talon-sventa-golpe-annunciato-da-militari-caos-africa-terzo-colpo-di-stato-in-3-mesi/2912170/,2025-12-07,2025,12,Dec 2025,49,Rejet / Refus,négatif
