Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,date,annee,mois,mois_label,semaine,event_label,sentiment
CHINA,CHN,BENIN,BEN,71,71,7,7.4,20,5.31914893617021,"Alibori, Alibori, Benin",BN,11.3333,2.91667,https://english.news.cn/20260418/02e91c47942a4e088eb42b3c4a77b976/c.html,2026-04-17,2026,4,Apr 2026,16,Aide / Assistance,positif
SCHOOL,Inconnu,Inconnu,Inconnu,70,70,7,7.0,20,4.56768634959314,Benin,BN,9.5,2.25,https://www.midilibre.fr/2026/04/16/un-marche-de-printemps-solidaire-et-pedagogique-au-lycee-mermoz-dalila-lycee-mermoz-iranget-13327750.php,2026-04-16,2026,4,Apr 2026,16,Aide / Assistance,positif
VOTER,Inconnu,Inconnu,Inconnu,13,13,1,0.4,20,-0.661650109478233,"Cadjehoun, Benin (general), Benin",BN,6.35,2.4,http://french.china.org.cn/foreign/txt/2026-04/12/content_118432607.htm,2026-04-12,2026,4,Apr 2026,15,Déclaration publique,neutre
CHINESE,CHN,BENIN,BEN,42,42,4,1.9,16,2.31990231990232,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260402/e9d62a9944244de1b05967b0ec9992a7/c.html,2026-04-01,2026,4,Apr 2026,14,Consultation,positif
BENIN,BEN,CHINESE,CHN,61,61,6,6.4,16,2.31990231990232,"Allada, Benin (general), Benin",BN,6.66547,2.15138,https://english.news.cn/africa/20260402/e9d62a9944244de1b05967b0ec9992a7/c.html,2026-04-01,2026,4,Apr 2026,14,Coopération matérielle,positif
BENIN,BEN,REBELLION,Inconnu,100,100,10,-5.0,16,-6.54556650246306,Benin,BN,9.5,2.25,https://abcnews.com/International/wireStory/activist-kemi-seba-arrested-south-africa-faces-extradition-132110584,2026-04-17,2026,4,Apr 2026,16,Demande / Aide,négatif
GOVERNMENT,Inconnu,Inconnu,Inconnu,10,10,1,0.0,14,-7.79494939340869,Benin,BN,9.5,2.25,https://www.thisdaylive.com/2026/04/03/hardship-crpp-calls-on-edo-gov-to-resign/,2026-04-03,2026,4,Apr 2026,14,Déclaration publique,négatif
REBEL,Inconnu,Inconnu,Inconnu,80,80,8,5.0,10,-0.952380952380949,Benin,BN,9.5,2.25,https://www.deshbandhu.co.in/articles/will-the-world-learn-anything-from-the-chambal-295065,2026-04-14,2026,4,Apr 2026,16,Accord / Coopération,neutre
CHINA,CHN,BENIN,BEN,71,71,7,7.4,10,5.40540540540541,"Alibori, Alibori, Benin",BN,11.3333,2.91667,http://www.sierraleonetimes.com/news/278994518/china-funded-oxygen-concentrators-delivered-to-boost-healthcare-in-benin,2026-04-18,2026,4,Apr 2026,16,Aide / Assistance,positif
Inconnu,Inconnu,UNIVERSITY,Inconnu,30,30,3,4.0,10,0.21881838074399,Benin,BN,9.5,2.25,https://www.nationalaccordnewspaper.com/unilorin-vc-lauds-olukoyede-on-impactful-fight-against-corruption/,2026-04-18,2026,4,Apr 2026,16,Coopération,neutre
RULING COALITION,Inconnu,Inconnu,Inconnu,30,30,3,4.0,10,-3.86904761904762,"Ouidah, Atlantique, Benin",BN,6.36307,2.08506,https://www.theguardian.com/world/2026/apr/12/benin-presidential-election,2026-04-12,2026,4,Apr 2026,15,Coopération,négatif
CHANCELLOR,Inconnu,UNIVERSITY,Inconnu,70,70,7,7.0,10,4.82398956975228,Benin,BN,9.5,2.25,https://thesun.ng/okpebholo-okays-n2bn-grant-for-infrastructure-at-edo-varsity-raises-subvention-to-n250m/,2026-04-07,2026,4,Apr 2026,15,Aide / Assistance,positif
BANGUI,CAF,Inconnu,Inconnu,20,20,2,3.0,10,2.94117647058824,Benin,BN,9.5,2.25,https://www.camer.be/93040/16:6/vincent-mambachaka-le-medecin-chef-des-consultations-poetiques-en-afrique-africa.html,2026-04-16,2026,4,Apr 2026,16,Appel / Demande,positif
THE OPPOSITION,Inconnu,Inconnu,Inconnu,20,20,2,3.0,10,-2.01005025125628,Benin,BN,9.5,2.25,https://www.winnipegfreepress.com/world/2026/04/16/benin-court-confirms-finance-minister-romauld-wadagnis-election-as-next-president,2026-04-16,2026,4,Apr 2026,16,Appel / Demande,négatif
ATTORNEY,Inconnu,Inconnu,Inconnu,20,20,2,3.0,10,-9.69827586206893,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/04/benin-deux-meuniers-condamnes-a-pres-de-5-millions-fcfa-pour-fraude-electrique/,2026-04-07,2026,4,Apr 2026,15,Appel / Demande,négatif
ECONOMIST,Inconnu,Inconnu,Inconnu,70,70,7,7.0,10,1.02707749766574,Benin,BN,9.5,2.25,https://www.lejecos.com/7%e1%b5%89-EDITION-DES-FINANCIAL-AFRIK-AWARDS-A-Banjul-L-Afrique-des-PPP-teste-sa-maturite_a30646.html,2026-04-09,2026,4,Apr 2026,15,Aide / Assistance,positif
BENIN,BEN,Inconnu,Inconnu,71,71,7,7.4,10,1.11111111111111,Benin,BN,9.5,2.25,https://sixactualites.fr/impots/benin-entre-une-croissance-economique-exceptionnelle-et-le-combat-toujours-present-contre-la-pauvrete/105693/,2026-04-12,2026,4,Apr 2026,15,Aide / Assistance,positif
POLITICIAN,Inconnu,Inconnu,Inconnu,20,20,2,3.0,10,-0.89020771513353,Benin,BN,9.5,2.25,https://www.agenzianova.com/news/il-benin-al-voto-per-le-elezioni-presidenziali-nel-segno-della-continuita/,2026-04-10,2026,4,Apr 2026,15,Appel / Demande,neutre
BANK,Inconnu,Inconnu,Inconnu,71,71,7,7.4,10,2.25,Benin,BN,9.5,2.25,https://www.nationalaccordnewspaper.com/efcc-is-a-fantastic-organisation-says-first-bank-manager/,2026-04-18,2026,4,Apr 2026,16,Aide / Assistance,positif
DEPUTY,Inconnu,DEPUTY,Inconnu,20,20,2,3.0,10,2.03488372093024,Benin,BN,9.5,2.25,https://thesun.ng/okpebholo-oshiomhole-lead-condolence-visit-to-idahosa/,2026-04-09,2026,4,Apr 2026,15,Appel / Demande,positif
BENIN,BEN,Inconnu,Inconnu,80,80,8,5.0,10,2.67379679144385,Benin,BN,9.5,2.25,https://aa.com.tr/en/africa/benin-s-presidential-candidate-hounkpe-concedes-defeat-in-preliminary-results/3904319,2026-04-13,2026,4,Apr 2026,16,Accord / Coopération,positif
AFRICA,AFR,Inconnu,Inconnu,71,71,7,7.4,10,1.02707749766574,Benin,BN,9.5,2.25,https://www.lejecos.com/7%e1%b5%89-EDITION-DES-FINANCIAL-AFRIK-AWARDS-A-Banjul-L-Afrique-des-PPP-teste-sa-maturite_a30646.html,2026-04-09,2026,4,Apr 2026,15,Aide / Assistance,positif
POLICE,Inconnu,Inconnu,Inconnu,73,73,7,7.4,10,-2.71186440677966,Benin,BN,9.5,2.25,https://dailypost.ng/2026/04/06/police-rescue-two-kidnapped-victims-in-edo/,2026-04-06,2026,4,Apr 2026,15,Aide / Assistance,négatif
BENIN,BEN,Inconnu,Inconnu,80,80,8,5.0,10,0.0,"Porto-Novo, Qué, Benin",BN,6.48333,2.61667,https://punchng.com/benin-opposition-presidential-candidate-concedes-defeat-to-wadagni/,2026-04-13,2026,4,Apr 2026,16,Accord / Coopération,neutre
AUTHORITIES,Inconnu,Inconnu,Inconnu,20,20,2,3.0,10,-3.19548872180451,Benin,BN,9.5,2.25,https://www.globes.co.il/news/article.aspx?did=1001539538,2026-04-16,2026,4,Apr 2026,16,Appel / Demande,négatif
