SQLDATE,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
20260412,BENINESE,BEN,,,114,114,11,-2,3,-2.71084337349397,"Bopa, Benin (general), Benin",BN,6.5874,1.96539,https://www.the-messenger.com/news/national/article_ab442ca2-3ae4-5921-9fee-bdbb7b50b14f.html
20260412,BENINESE,BEN,,,114,114,11,-2,5,-2.25225225225226,"Zongo, Atakora, Benin",BN,10.1841,1.09662,https://www.insidenova.com/news/national/finance-minister-favourite-as-benin-votes-for-president/article_21dc37b4-bd7c-5e35-95b7-26f19d5caa33.html
20260412,BENIN,BEN,,,062,062,06,7.4,10,-3.0050083472454,Benin,BN,9.5,2.25,https://saharamedias.net/255279/
20260412,BENIN,BEN,,,114,114,11,-2,10,-2.16508795669824,Benin,BN,9.5,2.25,https://www.la-croix.com/le-benin-elit-son-president-voie-royale-pour-le-ministre-romuald-wadagni-20260411
20260412,COTONOU,BEN,INSURGENCY,,0831,083,08,5,5,-6.50994575045208,Benin,BN,9.5,2.25,https://www.whec.com/ap-top-news/benin-holds-presidential-election-with-finance-minister-favored-to-succeed-talon/
20260412,BENINESE,BEN,ECOWAS,WAF,039,039,03,5,1,-1.14942528735632,Benin,BN,9.5,2.25,https://www.africanews.com/2026/04/12/benin-talon-shows-himself-optimistic-about-election-as-he-casts-his-vote/
20260406,BENIN,BEN,COMMUNITY,,181,181,18,-9,4,-2.71186440677966,Benin,BN,9.5,2.25,https://dailypost.ng/2026/04/06/police-rescue-two-kidnapped-victims-in-edo/
20260330,BENIN,BEN,,,1821,182,18,-9,4,-4.52127659574468,Benin,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-linf-reagit-apres-la-condamnation-de-marcel-houinato-pour-viol-sur-mineure/
20260402,BENIN,BEN,,,0241,024,02,-0.3,5,-0.33112582781457,Benin,BN,9.5,2.25,https://nigerianobservernews.com/2026/04/edo-lg-elections-we-cant-disqualify-candidates-power-lies-with-political-parties-edsiec/
20260402,BENIN,BEN,LAGOS,NGA,191,191,19,-9.5,10,-7.6923076923077,Benin,BN,9.5,2.25,https://dailytrust.com/motorists-stranded-as-youths-protest-hardship-in-edo/
20260427,BENIN,BEN,UNITED KINGDOM,GBR,081,081,08,5,6,-5.56792873051225,Benin,BN,9.5,2.25,https://allafrica.com/stories/202604270312.html
20260410,COTONOU,BEN,ECOWAS,WAF,074,074,07,8.5,10,3.38345864661654,Benin,BN,9.5,2.25,https://www.ghanamma.com/2026/04/10/nana-arrives-in-benin-for-election-observation/
20260413,BENIN,BEN,,,114,114,11,-2,10,-1.4218009478673,"Godomey, Atlantique, Benin",BN,6.38948,2.34581,https://www.jeuneafrique.com/1787737/politique/presidentielle-au-benin-le-depouillement-a-commence-les-resultats-provisoires-sont-attendus-en-debut-de-semaine/
20260321,BENIN,BEN,,,181,181,18,-9,2,-7.465825446898,Benin,BN,9.5,2.25,https://www.premiumtimesng.com/entertainment/nollywood/865793-oba-of-benin-palace-incident-don-pedro-obaseki-demands-n500m-damages.html
20260427,BENIN,BEN,,,025,025,02,-0.3,2,-5.32859680284191,"Igini, Benin (general), Benin",BN,8.93555,2.57951,https://www.premiumtimesng.com/news/top-news/875316-edo-govt-disowns-okpebholos-aide-over-threats-against-opposition.html
