entity,count
Nigeria,261
Government,174
Africa,148
Governor,138
Police,106
President,101
Alibori,94
Ouidah,61
Nigerian,59
Military,52
Community,49
Hospital,47
Ecowas,42
Niger,37
Burkina Faso,34
France,34
Student,33
Administration,33
Abomey,30
Congress,29
School,28
Minist,28
University,25
British,21
Company,21
Cotonou Africa,21
Democratic Party,20
Citizen,18
Army,18
French,18
United Kingdom,17
Qatar,17
Television,16
Terrorist,16
Tribunal,16
Secretariat,16
Lawmaker,15
Senate,14
Operative,13
Ministry,13
News Agency,13
Business,12
Ganvie,12
Tanguieta,12
Newspaper,12
Monarch,12
Africa Ouidah,12
Karimama,11
Kingdom,11
Bank,11
